"hump","arch one''s back"
"fling","move in an abrupt or headlong manner; ""He flung himself onto the sofa"""
"thrust","press or force; ""Stuff money into an envelope""; ""She thrust the letter into his hand"""
"stuff","press or force; ""Stuff money into an envelope""; ""She thrust the letter into his hand"""
"shove","press or force; ""Stuff money into an envelope""; ""She thrust the letter into his hand"""
"squeeze","press or force; ""Stuff money into an envelope""; ""She thrust the letter into his hand"""
"hop","make a jump forward or upward"
"hop","jump across; ""He hopped the bush"""
"hop","make a quick trip especially by air; ""Hop the Pacific Ocean"""
"hop","move quickly from one place to another"
"bedhop","sleep around; ""His wife bed hops"""
"ride","climb up on the body; ""Shorts that ride up""; ""This skirt keeps riding up my legs"""
"singsong","move as if accompanied by a singsong; ""The porters singsonged the travellers'' luggage up the mountain"""
"shoot","send forth suddenly, intensely, swiftly; ""shoot a glance"""
"turn","move around an axis or a center; ""The wheels are turning"""
"hustle","cause to move furtively and hurriedly; ""The secret service agents hustled the speaker out of the amphitheater"""
"dodge","make a sudden movement in a new direction so as to avoid; ""The child dodged the teacher''s blow"""
"dodge","move to and fro or from place to place usually in an irregular course; ""the pickpocket dodged through the crowd"""
"plow","move in a way resembling that of a plow cutting into or going through the soil; ""The ship plowed through the water"""
"plough","move in a way resembling that of a plow cutting into or going through the soil; ""The ship plowed through the water"""
"topple","cause to topple or tumble by pushing"
"tumble","cause to topple or tumble by pushing"
"tip","cause to topple or tumble by pushing"
"throw","move violently, energetically, or carelessly; ""She threw herself forwards"""
"throw","to put into a state or activity hastily, suddenly, or carelessly; ""Jane threw dinner together""; ""throw the car into reverse"""
"lurch","move slowly and unsteadily; ""The truck lurched down the road"""
"draw","cause to flow; ""The nurse drew blood"""
"rip","move precipitously or violently; ""The tornado ripped along the coast"""
"wash","move by or as if by water; ""The swollen river washed away the footbridge"""
"curl","shape one''s body into a curl; ""She curled farther down under the covers""; ""She fell and drew in"""
"sift","move as if through a sieve; ""The soldiers sifted through the woods"""
"interpose","be or come between; ""An interposing thicket blocked their way"""
"dance","skip, leap, or move up and down or sideways; ""Dancing flames""; ""The children danced with joy"""
"grab","make a grasping or snatching motion with the hand; ""The passenger grabbed for the oxygen mask"""
"fall","move in a specified direction; ""The line of men fall forward"""
"drag","move slowly and as if with great effort"
"rake","move through with or as if with a rake; ""She raked her fingers through her hair"""
"run","move about freely and without restraint, or act as if running around in an uncontrolled way; ""who are these people running around in the building?""; ""She runs around telling everyone of her troubles""; ""let the dogs run free"""
"bang","move noisily; ""The window banged shut""; ""The old man banged around the house"""
"tool","drive; ""The convertible tooled down the street"""
"blow","cause to move by means of an air current; ""The wind blew the leaves around in the yard"""
"whiff","drive or carry as if by a puff of air; ""The gust of air whiffed away the clouds"""
"blow","cause air to go in, on, or through; ""Blow my hair dry"""
"break","change directions suddenly"
"precess","move in a gyrating fashion; ""the poles of the Earth precess at a right angle to the force that is applied"""
"cut","move (one''s fist); ""his opponent cut upward toward his chin"""
"drag","use a computer mouse to move icons on the screen and select commands from a menu; ""drag this icon to the lower right hand corner of the screen"""
"travel","travel from place to place, as for the purpose of finding work, preaching, or acting as a judge"
"itinerate","travel from place to place, as for work; ""an itinerating merchant"""
"ride","sit on and control a vehicle; ""He rides his bicycle to work every day""; ""She loves to ride her new motorcycle through town"""
"advect","convey by horizontal mass movement of a fluid; ""energy advected from the environment"""
"wander","go via an indirect route or at no set pace; ""After dinner, we wandered into town"""
"ascend","go along towards (a river''s) source; ""The boat ascended the Delaware"""
"pull","cause to move in a certain direction by exerting a force upon, either physically or in an abstract sense; ""A declining dollar pulled down the export figures for the last quarter"""
"snowshoe","travel on snowshoes; ""After a heavy snowfall, we have to snowshoe to the grocery store"""
"beetle","fly or go in a manner resembling a beetle; ""He beetled up the staircase""; ""They beetled off home"""
"lateralize","move or displace to one side so as to make lateral"
"translate","physics: subject to movement in which every part of the body moves parallel to and the same distance as every other point on the body"
"hit","drive something violently into a location; ""he hit his fist on the table""; ""she struck her head on the low ceiling"""
"strike","drive something violently into a location; ""he hit his fist on the table""; ""she struck her head on the low ceiling"""
"smash","hit violently; ""She smashed her car against the guard rail"""
"close","change one''s body stance so that the forward shoulder and foot are closer to the intended point of impact"
"teleport","transport by dematerializing at one point and assembling at another"
"record","be aware of; ""Did you register any change when I pressed the button?"""
"register","be aware of; ""Did you register any change when I pressed the button?"""
"feel","perceive by a physical sensation, e.g., coming from the skin or muscles; ""He felt the wind""; ""She felt an object brushing her arm""; ""He felt his flesh crawl""; ""She felt the heat when she got out of the car"""
"sense","perceive by a physical sensation, e.g., coming from the skin or muscles; ""He felt the wind""; ""She felt an object brushing her arm""; ""He felt his flesh crawl""; ""She felt the heat when she got out of the car"""
"perceive","to become aware of through the senses; ""I could perceive the ship coming over the horizon"""
"comprehend","to become aware of through the senses; ""I could perceive the ship coming over the horizon"""
"apperceive","perceive in terms of a past experience"
"receive","recieve (perceptual input); ""pick up a signal"""
"hear","receive a communication from someone; ""We heard nothing from our son for five years"""
"divine","perceive intuitively or through some inexplicable perceptive powers"
"chiromance","divine by reading someone''s palms; ""The Gypsies chiromanced""; ""She refused to chiromance my fate"""
"experience","of mental or physical states or experiences; ""get an idea""; ""experience vertigo""; ""get nauseous""; ""undergo a strange sensation""; ""The chemical undergoes a sudden change""; ""The fluid undergoes shear""; ""receive injuries""; ""have a feeling"""
"receive","of mental or physical states or experiences; ""get an idea""; ""experience vertigo""; ""get nauseous""; ""undergo a strange sensation""; ""The chemical undergoes a sudden change""; ""The fluid undergoes shear""; ""receive injuries""; ""have a feeling"""
"have","of mental or physical states or experiences; ""get an idea""; ""experience vertigo""; ""get nauseous""; ""undergo a strange sensation""; ""The chemical undergoes a sudden change""; ""The fluid undergoes shear""; ""receive injuries""; ""have a feeling"""
"get","of mental or physical states or experiences; ""get an idea""; ""experience vertigo""; ""get nauseous""; ""undergo a strange sensation""; ""The chemical undergoes a sudden change""; ""The fluid undergoes shear""; ""receive injuries""; ""have a feeling"""
