"adenoma","a benign epithelial tumor of glandular origin"
"angioma","a tumor consisting of a mass of blood or lymphatic vessels"
"chondroma","a common benign tumor of cartilage cells"
"blastoma","a tumor composed of immature undifferentiated cells"
"blastocytoma","a tumor composed of immature undifferentiated cells"
"glioblastoma","a fast-growing malignant brain tumor composed of spongioblasts; nearly always fatal"
"glioma","a tumor of the brain consisting of neuroglia"
"carcinoid","a small tumor (benign or malignant) arising from the mucosa of the gastrointestinal tract; usually associated with excessive secretion of serotonin"
"celioma","an abdominal tumor"
"malignancy","(medicine) a malignant state; progressive and resistant to treatment and tending to cause death"
"malignance","(medicine) a malignant state; progressive and resistant to treatment and tending to cause death"
"granulation","new connective tissue and tiny blood vessels that form on the surfaces of a wound during the healing process"
"enchondroma","benign slow-growing tumor of cartilaginous cells at the ends of tubular bones (especially in the hands and feet)"
"fibroadenoma","benign and movable and firm and not tender tumor of the breast; common in young women and caused by high levels of estrogen"
"fibroma","nonmalignant tumor of connective tissue"
"granuloma","a tumor composed of granulation tissue resulting from injury or inflammation or infection"
"gumma","a small rubbery granuloma that is characteristic of an advanced stage of syphilis"
"hamartoma","a focal growth that resembles a neoplasm but results from faulty development in an organ"
"lipoma","a tumor consisting of fatty tissue"
"meningioma","a tumor arising in the meninges which surround the brain and spinal cord; usually slow growing and sometimes malignant"
"cancer","any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream"
"angiosarcoma","a rare malignant neoplasm arising from vascular tissue; usually occurs in the breast and skin and is believed to originate from the endothelial cells of blood vessels"
"liposarcoma","sarcoma of fat cells"
"myosarcoma","sarcoma of muscle tissue"
"neurosarcoma","a malignant neoplasm of nerve tissue and fibrous tissue and connective tissue"
"osteosarcoma","malignant bone tumor; most common in children and young adults where it tends to affect the femur"
"lymphadenoma","an abnormally enlarged lymph node"
"lymphoma","a neoplasm of lymph tissue that is usually malignant; one of the four major types of cancer"
"carcinoma","any malignant tumor derived from epithelial tissue; one of the four major types of cancer"
"cancroid","the most common form of skin cancer"
"leukemia","malignant neoplasm of blood-forming tissues; characterized by abnormal proliferation of leukocytes; one of the four major types of cancer"
"leukaemia","malignant neoplasm of blood-forming tissues; characterized by abnormal proliferation of leukocytes; one of the four major types of cancer"
"leucaemia","malignant neoplasm of blood-forming tissues; characterized by abnormal proliferation of leukocytes; one of the four major types of cancer"
"rhabdosarcoma","a highly malignant neoplasm derived from striated muscle"
"sarcoma","a usually malignant tumor arising from connective tissue (bone or muscle etc.); one of the four major types of cancer"
"hemangioma","benign angioma consisting of a mass of blood vessels; some appear as birthmarks"
"haemangioma","benign angioma consisting of a mass of blood vessels; some appear as birthmarks"
"lymphangioma","benign angioma consisting of a mass of lymphatic vessels"
"myeloma","a tumor of the bone marrow (usually malignant) composed of cells normally found in bone marrow"
"myoma","a benign tumor composed of muscle tissue"
"myxoma","a benign tumor of connective tissue containing jellylike material"
"neurinoma","tumor (usually benign) of the sheath surrounding a nerve"
"neuroblastoma","malignant tumor containing embryonic nerve cells; usually metastasizes quickly"
"neurofibroma","tumor of the fibrous covering of a peripheral nerve"
"neurilemoma","tumor of the fibrous covering of a peripheral nerve"
"neuroma","any tumor derived from cells of the nervous system"
"leiomyoma","benign tumor of smooth muscle (usually in the uterus or digestive tract)"
"rhabdomyoma","benign rumor of striated muscle"
"osteoblastoma","benign tumor of bone and fibrous tissue; occurs in the vertebrae or femur or tibia or arm bones (especially in young adults)"
"osteoma","a slow growing benign tumor of consisting of bone tissue; usually on the skull or mandible"
"papilloma","a benign epithelial tumor forming a rounded mass"
"villoma","a benign epithelial tumor forming a rounded mass"
"pinealoma","tumor of the pineal gland"
"plasmacytoma","neoplasm of plasma cells (usually in bone marrow)"
"psammoma","a tumor derived from fibrous tissue of the meninges or choroid plexus or certain other structures associated with the brain; characterized by sand-like particles"
"teratoma","a tumor consisting of a mixture of tissues not normally found at that site"
"hepatoma","carcinoma of the liver"
"mesothelioma","a rare form of carcinoma of the mesothelium lining lungs or abdomen or heart; usually associated with exposure to asbestos dust"
"seminoma","malignant tumor of the testis; usually occurring in older men"
"epithelioma","a malignant tumor of the epithelial tissue"
"melanoma","any of several malignant neoplasms (usually of the skin) consisting of melanocytes"
"glaucoma","increased pressure in the eyeball due to obstruction of the outflow of aqueous humor; damages the optic disc and impairs vision (sometimes progressing to blindness)"
"keratonosus","any disease of the cornea"
"trachoma","a chronic contagious viral disease marked by inflammation of the conjunctiva and cornea of the eye and the formation of scar tissue"
"leukoma","eye disease consisting of an opaque white spot on the cornea"
"leucoma","eye disease consisting of an opaque white spot on the cornea"
"cataract","clouding of the natural lens of the eye"
"adenitis","inflammation of a gland or lymph node"
"alveolitis","inflammation of the alveoli in the lungs caused by inhaling dust; with repeated exposure the condition may become chronic"
"alveolitis","inflammation in the socket of a tooth; sometimes occurs after a tooth is extracted and a blood clot fails to form"
"angiitis","inflammation of a blood vessel or lymph duct"
"aortitis","inflammation of the aorta"
"appendicitis","inflammation of the vermiform appendix"
"arteritis","inflammation of an artery"
"periarteritis","inflammation of the outer coat of an artery"
"polyarteritis","inflammation of several arteries"
"ophthalmia","severe conjunctivitis"
"ophthalmitis","severe conjunctivitis"
"tenosynovitis","inflammation of the sheath surrounding a tendon"
"actinomycosis","disease of cattle that can be transmitted to humans; results from infection with actinomycetes; characterized by hard swellings that exude pus through long sinuses"
"anaplasmosis","a disease of cattle that is transmitted by cattle ticks; similar to Texas fever"
"anthrax","a highly infectious animal disease (especially cattle and sheep); it can be transmitted to people"
"aspergillosis","severe respiratory disease of birds that takes the form of an acute rapidly fatal pneumonia in young chickens and turkeys"
"bagassosis","alveolitis caused by inhaling bagasse (sugarcane dust)"
"bagascosis","alveolitis caused by inhaling bagasse (sugarcane dust)"
"balanitis","inflammation of the head of the penis"
"bighead","any of various diseases of animals characterized by edema of the head and neck"
"blepharitis","inflammation of the eyelids characterized by redness and swelling and dried crusts"
"bursitis","inflammation of a bursa; frequently in the shoulder"
"brucellosis","an infectious disease of domestic animals often resulting in spontaneous abortion; transmittable to human beings"
"BSE","a fatal disease of cattle that affects the central nervous system; causes staggering and agitation"
"camelpox","a viral disease of camels closely related to smallpox; ""with a little genetic engineering camelpox could be used as a bioweapon"""
"chorea","chorea in dogs"
"costiasis","a fatal disease of fresh-water fish caused by a flagellated protozoan invading the skin"
"cowpox","a viral disease of cattle causing a mild skin disease affecting the udder; formerly used to inoculate humans against smallpox"
"vaccinia","a viral disease of cattle causing a mild skin disease affecting the udder; formerly used to inoculate humans against smallpox"
"creeps","a disease of cattle and sheep attributed to a dietary deficiency; characterized by anemia and softening of the bones and a slow stiff gait"
"fistula","a chronic inflammation of the withers of a horse"
"distemper","any of various infectious viral diseases of animals"
"strangles","an acute bacterial disease of horses characterized by inflammation of the mucous membranes"
"enterotoxemia","a disease of cattle and sheep that is attributed to toxins absorbed from the intestines"
"distomatosis","a disease of the liver (especially in sheep and cattle) caused by liver flukes and their by-products"
"glanders","a destructive and contagious bacterial disease of horses that can be transmitted to humans"
"heaves","a chronic emphysema of the horse that causes difficult expiration and heaving of the flanks"
"albuminuria","the presence of excessive protein (chiefly albumin but also globulin) in the urine; usually a symptom of kidney disorder"
"proteinuria","the presence of excessive protein (chiefly albumin but also globulin) in the urine; usually a symptom of kidney disorder"
"aminoaciduria","abnormal presence of amino acids in the urine; usually a symptom of metabolic defects"
"ammoniuria","excessive ammonia in the urine"
"hematocyturia","the presence of red blood cells in the urine"
"keratomalacia","softening and drying and ulceration of the cornea resulting from vitamin A deficiency; symptom of cystic fibrosis or sprue"
"ketonemia","an abnormal increase of ketone bodies in the blood as in diabetes mellitus"
"ketosis","an abnormal increase of ketone bodies in the blood as in diabetes mellitus"
"acetonemia","an abnormal increase of ketone bodies in the blood as in diabetes mellitus"
"fructosuria","the presence of levulose is the urine; ""fructosuria is a harmless condition"""
"glucosuria","the presence of abnormally high levels of glucose in the urine"
"glycosuria","the presence of abnormally high levels of sugar in the urine"
"lymphuria","the presence of lymph in the urine"
"monocytosis","increase in the number of monocytes in the blood; symptom of monocytic leukemia"
"ochronosis","an accumulation of dark pigment in cartilage and other connective tissue; usually a symptom of alkaptonuria or phenol poisoning"
"hypercalcemia","the presence of abnormally high levels of calcium in the blood; usually the result of excessive bone resorption in hyperparathyroidism or Paget''s disease"
"hypocalcemia","abnormally low level of calcium in the blood; associated with hypoparathyroidism or kidney malfunction or vitamin D deficiency"
"hypocalcaemia","abnormally low level of calcium in the blood; associated with hypoparathyroidism or kidney malfunction or vitamin D deficiency"
"hyperkalemia","higher than normal levels of potassium in the circulating blood; associated with kidney failure or sometimes with the use of diuretic drugs"
"hypokalemia","abnormally low level of potassium in the circulating blood leading to weakness and heart abnormalities; associated with adrenal tumors or starvation or taking diuretics"
"kalemia","the presence of excess potassium in the circulating blood"
"kaliuresis","the presence of excess potassium in the urine"
"kaluresis","the presence of excess potassium in the urine"
"natriuresis","the presence of abnormally large amounts of sodium in the urine"
"hypernatremia","excessive amounts of sodium in the blood; possibly indicating diabetes insipidus"
"hyponatremia","abnormally low level of sodium in the blood; associated with dehydration"
"hypersplenism","enlarged spleen and a decrease in one or more types of blood cells; associated with many disorders"
"ketonuria","excessive amounts of ketone bodies in the urine as in diabetes mellitus or starvation"
"ketoaciduria","excessive amounts of ketone bodies in the urine as in diabetes mellitus or starvation"
"acetonuria","excessive amounts of ketone bodies in the urine as in diabetes mellitus or starvation"
"rabies","an acute viral disease of the nervous system of warm-blooded animals (usually transmitted by the bite of a rabid animal); rabies is fatal if the virus reaches the brain"
"hydrophobia","an acute viral disease of the nervous system of warm-blooded animals (usually transmitted by the bite of a rabid animal); rabies is fatal if the virus reaches the brain"
"lyssa","an acute viral disease of the nervous system of warm-blooded animals (usually transmitted by the bite of a rabid animal); rabies is fatal if the virus reaches the brain"
"madness","an acute viral disease of the nervous system of warm-blooded animals (usually transmitted by the bite of a rabid animal); rabies is fatal if the virus reaches the brain"
"rinderpest","an acute infectious viral disease of cattle (usually fatal); characterized by fever and diarrhea and inflammation of mucous membranes"
"scours","diarrhea in livestock"
"scrapie","a fatal disease of sheep characterized by chronic itching and loss of muscular control and progressive degeneration of the central nervous system"
"spavin","a swelling of the hock joint of a horse; resulting in lameness"
"leptospirosis","an infectious disease cause by leptospira and transmitted to humans from domestic animals; characterized by jaundice and fever"
"locoism","a disease of livestock caused by locoweed poisoning; characterized by weakness and lack of coordination and trembling and partial paralysis"
"mange","a persistent and contagious disease of the skin causing inflammation and itching and loss of hair; affects domestic animals (and sometimes people)"
"mooneye","recurrent eye inflammation in horses; sometimes resulting in blindness"
"murrain","any plaguelike disease of domestic animals"
"myxomatosis","a viral disease (usually fatal) of rabbits"
"pip","a disease of poultry"
"psittacosis","infectious disease of birds"
"gall","an open sore on the back of a horse caused by ill-fitting or badly adjusted saddle"
"staggers","a disease of the central nervous system affecting especially horses and cattle; characterized by an unsteady swaying gait and frequent falling"
"trembles","disease of livestock and especially cattle poisoned by eating certain kinds of snakeroot"
"tularemia","a highly infectious disease of rodents (especially rabbits and squirrels) and sometimes transmitted to humans by ticks or flies or by handling infected animals"
"tularaemia","a highly infectious disease of rodents (especially rabbits and squirrels) and sometimes transmitted to humans by ticks or flies or by handling infected animals"
"yatobyo","a highly infectious disease of rodents (especially rabbits and squirrels) and sometimes transmitted to humans by ticks or flies or by handling infected animals"
"zoonosis","an animal disease that can be transmitted to humans"
"rust","a reddish-brown discoloration of leaves and stems caused by a rust fungus"
"blackheart","any of various diseases in which the central tissues blacken"
"gummosis","disease of citrus trees caused by the fungus Phytophthora citrophthora"
"gummosis","pathological production of gummy exudates in citrus and various stone-fruit trees"
"dieback","a disease of plants characterized by the gradual dying of the young shoots starting at the tips and progressing to the larger branches"
"heartrot","any plant disease in which the central part of a plant rots (especially in trees)"
"mosaic","viral disease in solanaceous plants (tomatoes, potatoes, tobacco) resulting in mottling and often shriveling of the leaves"
"rosette","rhizoctinia disease of potatoes"
"scorch","a plant disease that produces a browning or scorched appearance of plant tissues"
"ergot","a plant disease caused by the ergot fungus"
"pinkroot","a fungal disease of onions"
"wilt","any plant disease characterized by drooping and shriveling; usually caused by parasites attacking the roots"
"smut","destructive diseases of plants (especially cereal grasses) caused by fungi that produce black powdery masses of spores"
"bunt","disease of wheat characterized by replacement of the grains with greasy masses of smelly smut spores"
"leak","soft watery rot in fruits and vegetables caused by fungi"
"trauma","an emotional wound or shock often having long-lasting effects"
"injury","any physical damage to the body caused by violence or accident or fracture etc."
"hurt","any physical damage to the body caused by violence or accident or fracture etc."
"harm","any physical damage to the body caused by violence or accident or fracture etc."
"trauma","any physical damage to the body caused by violence or accident or fracture etc."
"stigmata","marks resembling the wounds on the crucified body of Christ"
"abrasion","an abraded area where the skin is torn or worn off"
"scratch","an abraded area where the skin is torn or worn off"
"scrape","an abraded area where the skin is torn or worn off"
"excoriation","an abraded area where the skin is torn or worn off"
"graze","a superficial abrasion"
"cut","a wound made by cutting; ""he put a bandage over the cut"""
"gash","a wound made by cutting; ""he put a bandage over the cut"""
"slash","a wound made by cutting; ""he put a bandage over the cut"""
"slice","a wound made by cutting; ""he put a bandage over the cut"""
"laceration","a torn ragged wound"
"bite","a wound resulting from biting by an animal or a person"
"snakebite","a bite inflicted by a (venomous) snake"
"bleeding","flow of blood from a ruptured blood vessels"
"hemorrhage","flow of blood from a ruptured blood vessels"
"haemorrhage","flow of blood from a ruptured blood vessels"
"bruise","an injury that doesn''t break the skin but results in some discoloration"
"contusion","an injury that doesn''t break the skin but results in some discoloration"
"ecchymosis","the purple or black-and-blue area resulting from a bruise"
"petechia","a minute red or purple spot on the surface of the skin as the result of tiny hemorrhages of blood vessels in the skin (as in typhoid fever)"
"shiner","a bruise caused by a blow to the eye"
"bump","a lump on the body caused by a blow"
"burn","an injury cause by exposure to heat or chemicals or radiation"
"scorch","a surface burn"
"singe","a surface burn"
"scald","a burn cause by hot liquid or steam"
"sedation","a state of reduced excitement or anxiety that is induced by the administrative of a sedative agent"
"sunburn","redness of the skin caused by exposure to the rays of the sun"
"tan","a browning of the skin resulting from exposure to the rays of the sun"
"suntan","a browning of the skin resulting from exposure to the rays of the sun"
"sunburn","a browning of the skin resulting from exposure to the rays of the sun"
"burn","a browning of the skin resulting from exposure to the rays of the sun"
"windburn","redness and irritation of the skin caused by exposure to high-velocity wind"
"dislocation","a displacement of a part (especially a bone) from its normal position (as in the shoulder or the vertebral column)"
"fracture","breaking of hard tissue such as bone; ""it was a nasty fracture""; ""the break seems to have been caused by a fall"""
"break","breaking of hard tissue such as bone; ""it was a nasty fracture""; ""the break seems to have been caused by a fall"""
"diastasis","separation of an epiphysis from the long bone to which it is normally attached without fracture of the bone"
"frostbite","destruction of tissue by freezing and characterized by tingling, blistering and possibly gangrene"
"cryopathy","destruction of tissue by freezing and characterized by tingling, blistering and possibly gangrene"
"intravasation","entry of foreign matter into a blood vessel"
"pinch","an injury resulting from getting some body part squeezed"
"rupture","state of being torn or burst open"
"hernia","rupture in smooth muscle tissue through which a bodily structure protrudes"
"herniation","rupture in smooth muscle tissue through which a bodily structure protrudes"
"colpocele","hernia projecting into the vagina"
"vaginocele","hernia projecting into the vagina"
"diverticulum","a herniation through the muscular wall of a tubular organ (especially the colon)"
"eventration","protrusion of the intestine through the abdominal wall"
"exomphalos","an umbilical hernia at birth in which some abdominal organs push into the umbilical cord"
"cystocele","hernia in which the urinary bladder protrudes through the wall of the vagina; sometimes occurs after childbirth"
"rectocele","protrusion or herniation of the rectum into the vagina; can occur if pelvic muscles are weakened by childbirth"
"proctocele","protrusion or herniation of the rectum into the vagina; can occur if pelvic muscles are weakened by childbirth"
"keratocele","hernia of the cornea"
"laparocele","hernia through the abdomen"
"omphalocele","protrusion of the intestine and omentum through a hernia in the abdominal wall near the navel; usually self correcting after birth"
"sting","a painful wound caused by the thrust of an insect''s stinger into skin"
"bite","a painful wound caused by the thrust of an insect''s stinger into skin"
"strain","injury to a muscle (often caused by overuse); results in swelling and pain"
"strangulation","the condition of having respiration stopped by compression of the air passage"
"whiplash","an injury to the neck (the cervical vertebrae) resulting from rapid acceleration or deceleration (as in an automobile accident)"
"wale","a raised mark on the skin (as produced by the blow of a whip); characteristic of many allergic reactions"
"welt","a raised mark on the skin (as produced by the blow of a whip); characteristic of many allergic reactions"
"weal","a raised mark on the skin (as produced by the blow of a whip); characteristic of many allergic reactions"
"wheal","a raised mark on the skin (as produced by the blow of a whip); characteristic of many allergic reactions"
"wound","any break in the skin or an organ caused by violence or surgical incision"
"lesion","any break in the skin or an organ caused by violence or surgical incision"
"wrench","a sharp strain on muscles or ligaments; ""the wrench to his knee occurred as he fell""; ""he was sidelined with a hamstring pull"""
"twist","a sharp strain on muscles or ligaments; ""the wrench to his knee occurred as he fell""; ""he was sidelined with a hamstring pull"""
"pull","a sharp strain on muscles or ligaments; ""the wrench to his knee occurred as he fell""; ""he was sidelined with a hamstring pull"""
"sprain","a painful injury to a joint caused by a sudden wrenching of its ligaments"
"symptom","(medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease"
"sign","(medicine) any objective evidence of the presence of a disorder or disease; ""there were no signs of asphixiation"""
"amenorrhea","absence or suppression of normal menstrual flow"
"amenorrhoea","absence or suppression of normal menstrual flow"
"amenia","absence or suppression of normal menstrual flow"
"aura","a sensation (as of a cold breeze or bright light) that precedes the onset of certain disorders such as a migraine attack or epileptic seizure"
"chloasma","a tan discoloration of a woman''s face that is associated with pregnancy or with the use of oral contraceptives"
"melasma","a tan discoloration of a woman''s face that is associated with pregnancy or with the use of oral contraceptives"
"clubbing","a condition in which the ends of toes and fingers become wide and thick; a symptom of heart or lung disease"
"cyanosis","a bluish discoloration of the skin and mucous membranes; a sign that oxygen in the blood is dangerously diminished (as in carbon monoxide poisoning)"
"diuresis","increased secretion of urine; if not due to increased liquid intake or to the action of a diuretic drug it can be a symptom of diabetes mellitus"
"acrocyanosis","cyanosis of the extremities; can occur when a spasm of the blood vessels is caused by exposure to cold or by strong emotion"
"prodrome","an early symptom that a disease is developing or that an attack is about to occur"
"prodroma","an early symptom that a disease is developing or that an attack is about to occur"
"syndrome","a pattern of symptoms indicative of some disease"
"narcolepsy","a sleep disorder characterized by sudden and uncontrollable episodes of deep sleep; ""he believes that narcolepsy is attributable to an inability to suppress REM sleep during waking"""
"nephrosis","a syndrome characterized by edema and large amounts of protein in the urine and usually increased blood cholesterol; usually associated with glomerulonephritis or with a complication of various systemic diseases"
"PMS","a syndrome that occurs in many women from 2 to 14 days before the onset of menstruation"
"radiation","syndrome resulting from exposure to ionizing radiation (e.g., exposure to radioactive chemicals or to nuclear explosions); low doses cause diarrhea and nausea and vomiting and sometimes loss of hair; greater exposure can cause sterility and cataracts and"
"SIDS","sudden and unexpected death of an apparently healthy infant during sleep"
"tetany","clinical neurological syndrome characterized by muscular twitching and cramps and (when severe) seizures; associated with calcium deficiency (hypoparathyroidism) or vitamin D deficiency or alkalosis"
"tetanilla","clinical neurological syndrome characterized by muscular twitching and cramps and (when severe) seizures; associated with calcium deficiency (hypoparathyroidism) or vitamin D deficiency or alkalosis"
"effect","a symptom caused by an illness or a drug; ""the effects of sleep loss""; ""the effect of the anesthetic"""
"aftereffect","a delayed effect of a drug or therapy; ""the drug had unexpected aftereffects"""
"bummer","a bad reaction to a hallucinogenic drug"
"abscess","symptom consisting of a localized collection of pus surrounded by inflamed tissue"
"head","the tip of an abscess (where the pus accumulates)"
"purulence","symptom of being purulent (containing or forming pus)"
"purulency","symptom of being purulent (containing or forming pus)"
"exophthalmos","protrusion of the eyeball from the socket"
"festination","involuntary shortening of stride and quickening of gait that occurs in some diseases (e.g., Parkinson''s disease)"
"furring","a furlike coating of matter as on the tongue"
"gangrene","necrotic tissue; a mortified or gangrenous part or mass"
"sphacelus","necrotic tissue; a mortified or gangrenous part or mass"
"slough","necrotic tissue; a mortified or gangrenous part or mass"
"mummification","(pathology) gangrene that develops in the presence of arterial obstruction and is characterized by dryness of the dead tissue and a dark brown color"
"hematuria","the presence of blood in the urine; often a symptom of urinary tract disease"
"haematuria","the presence of blood in the urine; often a symptom of urinary tract disease"
"hemosiderosis","abnormal deposit of hemosiderin; often a symptom of thalassemia or hemochromatosis"
"nebula","cloudiness of the urine"
"sneeze","a symptom consisting of the involuntary expulsion of air from the nose"
"sneezing","a symptom consisting of the involuntary expulsion of air from the nose"
"sternutation","a symptom consisting of the involuntary expulsion of air from the nose"
"swelling","abnormal protuberance or localized enlargement"
"puffiness","abnormal protuberance or localized enlargement"
"lump","abnormal protuberance or localized enlargement"
"bloat","swelling of the rumen or intestinal tract of domestic animals caused by excessive gas"
"bubo","a lymph node that is inflamed and swollen because of plague or gonorrhea or tuberculosis"
"anasarca","generalized edema with accumulation of serum in subcutaneous connective tissue"
"chemosis","edema of the mucous membrane of the eyeball and eyelid lining"
"papilledema","swelling of the optic disc (where the optic nerve enters the eyeball); usually associated with an increase in intraocular pressure"
"bunion","a painful swelling of the bursa of the first joint of the big toe"
"palsy","a condition marked by uncontrollable tremor"
"pyuria","presence of white blood cells in the urine; symptom of urinary tract infection"
"edema","swelling from excessive accumulation of serous fluid in tissue"
"oedema","swelling from excessive accumulation of serous fluid in tissue"
"hydrops","swelling from excessive accumulation of serous fluid in tissue"
"dropsy","swelling from excessive accumulation of serous fluid in tissue"
"hematocele","swelling caused by blood collecting in a body cavity (especially a swelling of the membrane covering the testis)"
"haematocele","swelling caused by blood collecting in a body cavity (especially a swelling of the membrane covering the testis)"
"hematocoele","swelling caused by blood collecting in a body cavity (especially a swelling of the membrane covering the testis)"
"haematocoele","swelling caused by blood collecting in a body cavity (especially a swelling of the membrane covering the testis)"
"hematocolpos","accumulation of menstrual blood in the vagina (usually due to an imperforate hymen)"
"haematocolpos","accumulation of menstrual blood in the vagina (usually due to an imperforate hymen)"
"intumescence","swelling up with blood or other fluids (as with congestion)"
"intumescency","swelling up with blood or other fluids (as with congestion)"
"iridoncus","swelling of the iris of the eye"
"oscheocele","swelling of the scrotum"
"oscheocoele","swelling of the scrotum"
"tumescence","tumidity resulting from the presence of blood or other fluid in the tissues"
"tumidity","slight swelling of an organ or part"
"tumidness","slight swelling of an organ or part"
"hematoma","a localized swelling filled with blood"
"haematoma","a localized swelling filled with blood"
"hyperglycemia","abnormally high blood sugar usually associated with diabetes"
"hypoglycemia","abnormally low blood sugar usually resulting from excessive insulin or a poor diet"
"hypoglycaemia","abnormally low blood sugar usually resulting from excessive insulin or a poor diet"
"jaundice","yellowing of the skin and the whites of the eyes caused by an accumulation of bile pigment (bilirubin) in the blood; can be a symptom of gallstones or liver infection or anemia"
"icterus","yellowing of the skin and the whites of the eyes caused by an accumulation of bile pigment (bilirubin) in the blood; can be a symptom of gallstones or liver infection or anemia"
"kernicterus","an abnormal accumulation of bile pigment in the brain and other nerve tissue; causes yellow staining and tissue damage"
"congestion","excessive accumulation of blood or other fluid in a body part"
"hydrothorax","accumulation of fluid in the pleural cavity (the space between the lungs and the walls of the chest) often resulting from disease of the heart or kidneys"
"hemothorax","accumulation of blood in the pleural cavity (the space between the lungs and the walls of the chest)"
"haemothorax","accumulation of blood in the pleural cavity (the space between the lungs and the walls of the chest)"
"hyperemia","increased blood in an organ or other body part"
"hyperaemia","increased blood in an organ or other body part"
"engorgement","congestion with blood; ""engorgement of the breast"""
"eruption","symptom consisting of a breaking out and becoming visible"
"enanthem","eruption on a mucous membrane (as the inside of the mouth) occurring as a symptom of a disease"
"enanthema","eruption on a mucous membrane (as the inside of the mouth) occurring as a symptom of a disease"
"exanthem","eruption on the skin occurring as a symptom of a disease"
"exanthema","eruption on the skin occurring as a symptom of a disease"
"rash","any red eruption of the skin"
"roseola","any red eruption of the skin"
"efflorescence","any red eruption of the skin"
"miliaria","obstruction of the sweat ducts during high heat and humidity"
"urtication","an itchy skin eruption characterized by weals with pale interiors and well-defined red margins; usually the result of an allergic response to insect bites or food or drugs"
"urticaria","an itchy skin eruption characterized by weals with pale interiors and well-defined red margins; usually the result of an allergic response to insect bites or food or drugs"
"hives","an itchy skin eruption characterized by weals with pale interiors and well-defined red margins; usually the result of an allergic response to insect bites or food or drugs"
"numbness","partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction"
"pain","a symptom of some physical hurt or disorder; ""the patient developed severe pain and distension"""
"hurting","a symptom of some physical hurt or disorder; ""the patient developed severe pain and distension"""
"ache","a dull persistent (usually moderately intense) pain"
"aching","a dull persistent (usually moderately intense) pain"
"toothache","an ache localized in or around a tooth"
"odontalgia","an ache localized in or around a tooth"
"aerodontalgia","pain in the teeth that results from a change in air pressure (as in flying of mountain climbing)"
"agony","a state of acute pain"
"suffering","a state of acute pain"
"excruciation","a state of acute pain"
"arthralgia","pain in a joint or joints"
"throe","severe spasm of pain; ""the throes of dying""; ""the throes of childbirth"""
