"colostrum","milky fluid secreted for the first day or two after parturition"
"histamine","amine formed from histidine that stimulates gastric secretions and dilates blood vessels; released by the humane immune system during allergic reactions"
"prostaglandin","potent hormone-like substance found in many bodily tissues (and especially in semen); produced in response to trauma and may affect blood pressure and metabolism and smooth muscle activity"
"synovia","viscid lubricating fluid secreted by the membrane lining joints and tendon sheaths etc."
"mucus","protective secretion of the mucous membranes; in the gut it lubricates the passage of food and protects the epithelial cells; in the nose and throat and lungs it can make it difficult for bacteria to penetrate the body through the epithelium"
"phlegm","expectorated matter; saliva mixed with discharges from the respiratory passages; in ancient and medieval physiology it was believed to cause sluggishness"
"sputum","expectorated matter; saliva mixed with discharges from the respiratory passages; in ancient and medieval physiology it was believed to cause sluggishness"
"snot","nasal mucus"
"booger","dried nasal mucus"
"saliva","a clear liquid secreted into the mouth by the salivary glands and mucous glands of the mouth; moistens the mouth and starts the digestion of starches"
"spit","a clear liquid secreted into the mouth by the salivary glands and mucous glands of the mouth; moistens the mouth and starts the digestion of starches"
"spittle","a clear liquid secreted into the mouth by the salivary glands and mucous glands of the mouth; moistens the mouth and starts the digestion of starches"
"drool","saliva spilling from the mouth"
"dribble","saliva spilling from the mouth"
"drivel","saliva spilling from the mouth"
"slobber","saliva spilling from the mouth"
"sebum","the oily secretion of the sebaceous glands; with perspiration it moistens and protects the skin"
"smegma","a white secretion of the sebaceous glands of the foreskin"
"lochia","substance discharged from the vagina (cellular debris and mucus and blood) that gradually decreases in amount during the weeks following childbirth"
"purulence","a fluid product of inflammation"
"suppuration","a fluid product of inflammation"
"ichor","a fluid product of inflammation"
"sanies","a fluid product of inflammation"
"festering","a fluid product of inflammation"
"gleet","a thin morbid discharge as from a wound or especially chronic gonorrhea"
"leukorrhea","discharge of white mucous material from the vagina; often an indication of infection"
"leucorrhea","discharge of white mucous material from the vagina; often an indication of infection"
"vein","a blood vessel that carries blood from the capillaries toward the heart; all veins except the pulmonary carry unaerated blood"
"vena","a blood vessel that carries blood from the capillaries toward the heart; all veins except the pulmonary carry unaerated blood"
"venation","(zoology) the system of venous blood vessels in an animal"
"postcava","receives blood from lower limbs and abdominal organs and empties into the posterior part of the right atrium of the heart; formed from the union of the two iliac veins"
"precava","receives blood from the head and arms and chest and empties into the right atrium of the heart; formed from the azygos and both brachiocephalic veins"
"venter","a belly-like body part (as the belly of a muscle)"
"venter","the womb; ""`in venter'' is legal terminology for `conceived but not yet born''"""
"capillary","any of the minute blood vessels connecting arterioles with venules"
"venule","a minute vein continuous with a capillary"
"venula","a minute vein continuous with a capillary"
"membrane","a pliable sheet of tissue that covers or lines or connects organs or cells of animals"
"retina","the light-sensitive membrane covering the back wall of the eyeball; it is continuous with the optic nerve"
"sarcolemma","an extensible membrane enclosing the contractile substance of a muscle fiber"
"peritoneum","a transparent membrane that lines the abdominal cavity in mammals and covers most of the viscera"
"endocardium","the membrane that lines the cavities of the heart and forms part of the heart valves"
"pericardium","a double-layered serous membrane that surrounds the heart"
"epicardium","the innermost of the two layers of the pericardium"
"mesentery","a double layer of peritoneum that attaches to the back wall of the abdominal cavity and supports the small intestines"
"mesocolon","mesentery that holds the lower colon the back abdominal wall"
"omentum","a fold of peritoneum supporting the viscera"
"caul","part of the peritoneum attached to the stomach and to the colon and covering the intestines"
"submucosa","the connective tissue beneath mucous membrane"
"node","the source of lymph and lymphocytes"
"blastema","a mass of undifferentiated cells from which an organ or body part develops"
"energid","a biological unit consisting of a nucleus and the body of cytoplasm with which it interacts"
"protoplast","a biological unit consisting of a nucleus and the body of cytoplasm with which it interacts"
"pronucleus","the nucleus of the ovum or sperm after fertilization but before they fuse to form the nucleus of the zygote"
"zygote","the cell resulting from the union of an ovum and a spermatozoon (including the organism that develops from that cell)"
"parthenote","a cell resulting from parthenogenesis"
"protoplasm","the living substance of a cell (including cytoplasm and nucleus)"
"cytoplasm","the protoplasm of a cell excluding the nucleus"
"cytoplast","the intact cytoplasmic content of a cell"
"cytoskeleton","a microscopic network of actin filaments and microtubules in the cytoplasm of many living cells that gives the cell shape and coherence"
"cytosol","the aqueous part of the cytoplasm within which various particles and organelles are suspended"
"ectoplasm","the outer granule-free layer of cytoplasm"
"endoplasm","the inner portion of the cytoplasm of a cell"
"hyaloplasm","the clear nongranular portion of the cytoplasm of a cell"
"lysosome","an organelle found in the cytoplasm of most cells (especially in leukocytes and liver and kidney cells)"
"microsome","a tiny granule in the cytoplasm that is where protein synthesis takes place under the direction of mRNA"
"dictyosome","a net-like structure in the cytoplasm of animal cells (especially in those cells that produce secretions)"
"nucleoplasm","the protoplasm that constitutes the nucleus of a cell"
"karyoplasm","the protoplasm that constitutes the nucleus of a cell"
"nucleus","a part of the cell containing DNA and RNA and responsible for growth and reproduction"
"karyon","a part of the cell containing DNA and RNA and responsible for growth and reproduction"
"nucleolus","a small round body of protein in a cell nucleus; nucleoli contain RNA and are involved in protein synthesis"
"nucleole","a small round body of protein in a cell nucleus; nucleoli contain RNA and are involved in protein synthesis"
"plasm","the protoplasm of the germ cells that contains chromosomes and genes"
"chromatin","the readily stainable substance of a cell nucleus consisting of DNA and RNA and various proteins; during mitotic division the chromatin condenses into chromosomes"
"achromatin","the part of a cell nucleus that is relatively uncolored by stains or dyes"
"linin","an obsolete term for the network of viscous material in the cell nucleus on which the chromatin granules were thought to be suspended"
"gene","(genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity; ""genes were formerly called factors"""
"cistron","(genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity; ""genes were formerly called factors"""
"factor","(genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity; ""genes were formerly called factors"""
"allele","one of two alternate forms of a gene that can have the same locus on homologous chromosomes and are responsible for alternative traits; ""some alleles are dominant over others"""
"allelomorph","one of two alternate forms of a gene that can have the same locus on homologous chromosomes and are responsible for alternative traits; ""some alleles are dominant over others"""
"homeobox","one of various similar homeotic genes that are involved in bodily segmentation during embryonic development"
"modifier","a gene that modifies the effect produced by another gene"
"nonallele","genes that are not competitors at the same locus"
"operon","a segment of DNA containing adjacent genes including structural genes and an operator gene and a regulatory gene"
"oncogene","a gene that causes normal cells to change into cancerous tumor cells"
"polygene","a gene that by itself has little effect on the phenotype but which can act together with others to produce observable variations"
"suppressor","a gene that suppresses the phenotypic expression of another gene (especially of a mutant gene)"
"suppresser","a gene that suppresses the phenotypic expression of another gene (especially of a mutant gene)"
"chromosome","a threadlike body in the cell nucleus that carries the genes in a linear order"
"autosome","any chromosome that is not a sex chromosome; appear in pairs in body cells but as single chromosomes in spermatozoa"
"chromatid","one of two identical strands into which a chromosome splits during mitosis"
"centromere","a specialized condensed region of each chromosome that appears during mitosis where the chromatids are held together to form an X shape; ""the centromere is difficult to sequence"""
"kinetochore","a specialized condensed region of each chromosome that appears during mitosis where the chromatids are held together to form an X shape; ""the centromere is difficult to sequence"""
"karyotype","the appearance of the chromosomal makeup of a somatic cell in an individual or species (including the number and arrangement and size and structure of the chromosomes)"
"mitochondrion","an organelle containing enzymes responsible for producing energy"
"chondriosome","an organelle containing enzymes responsible for producing energy"
"sarcosome","a large mitochondrion in a striated muscle fiber"
"organelle","a specialized part of a cell; analogous to an organ; ""the first organelle to be identified was the nucleus"""
"aster","star-shaped structure formed in the cytoplasm of a cell having fibers like rays that surround the centrosome during mitosis"
"centriole","one of two small cylindrical cell organelles composes of 9 triplet microtubules; form the asters during mitosis"
"ribosome","an organelle in the cytoplasm of a living cell; ribosomes attach to mRNA and move down it one codon at a time and stop until tRNA brings the required amino acid; when a ribosome reaches a stop codon it falls apart and releases the completed protein molecu"
"centrosome","small region of cytoplasm adjacent to the nucleus; contains the centrioles and serves to organize the microtubules"
"sarcoplasm","the cytoplasm of a striated muscle fiber"
"vacuole","a tiny cavity filled with fluid in the cytoplasm of a cell"
"sclera","whitish fibrous membrane (albuginea) that with the cornea forms the outer covering of the eyeball"
"blastocyte","an undifferentiated embryonic cell"
"ameloblast","a cell from which tooth enamel develops"
"osteoblast","a cell from which bone develops"
"erythroblast","a nucleated cell in bone marrow from which red blood cells develop"
"fibroblast","a cell from which connective tissue develops"
"neuroblast","a cell from which a nerve cell develops"
"myelocyte","an immature leukocyte normally found in bone marrow"
"myeloblast","a precursor of leukocytes that normally occurs only in bone marrow"
"sideroblast","an erythroblast having granules of ferritin"
"megakaryocyte","a large bone marrow cell; regarded as the source of blood platelets"
"osteoclast","cell that functions in the breakdown and resorption of bone tissue"
"osteocyte","mature bone cell"
"corpuscle","either of two types of cells (erythrocytes and leukocytes) and sometimes including platelets"
"akaryocyte","a cell without a nucleus (as an erythrocyte)"
"akaryote","a cell without a nucleus (as an erythrocyte)"
"acaryote","a cell without a nucleus (as an erythrocyte)"
"megalocyte","abnormally large red blood cell (associated with pernicious anemia)"
"macrocyte","abnormally large red blood cell (associated with pernicious anemia)"
"megaloblast","abnormally large red blood cell present in pernicious anemia and folic acid deficiency"
"leukocyte","blood cells that engulf and digest bacteria and fungi; an important part of the body''s defense system"
"leucocyte","blood cells that engulf and digest bacteria and fungi; an important part of the body''s defense system"
"histiocyte","a macrophage that is found in connective tissue"
"macrophage","a large phagocyte; some are fixed and other circulate in the blood stream"
"phagocyte","a cell that engulfs and digests debris and invading microorganisms"
"lymphocyte","an agranulocytic leukocyte that normally makes up a quarter of the white blood cell count but increases in the presence of infection"
"lymphoblast","an immature lymphocyte"
"plasmacyte","a lymphocyte-like cell that develops from a B lymphocyte in reaction to a specific antigen; found in bone marrow and sometimes in the blood"
"plasmablast","the precursor of a plasma cell"
"granulocyte","a leukocyte that has granules in its cytoplasm"
"monocyte","a type of granular leukocyte that functions in the ingestion of bacteria"
"monoblast","a large immature monocyte normally found in bone marrow"
"basophil","a leukocyte with basophilic granules easily stained by basic stains"
"basophile","a leukocyte with basophilic granules easily stained by basic stains"
"neutrophil","the chief phagocytic leukocyte; stains with either basic or acid dyes"
"neutrophile","the chief phagocytic leukocyte; stains with either basic or acid dyes"
"microphage","a neutrophil that ingests small things (as bacteria)"
"eosinophil","a leukocyte readily stained with eosin"
"eosinophile","a leukocyte readily stained with eosin"
"erythrocyte","a mature blood cell that contains hemoglobin to carry oxygen to the bodily tissues; a biconcave disc that has no nucleus"
"acanthocyte","an abnormal red blood cell that has thorny projections of protoplasm"
"microcyte","an abnormally small red blood cell (less than 5 microns in diameter)"
"reticulocyte","an immature red blood cell containing a network of filaments or granules"
"siderocyte","an abnormal red blood cell containing granules of iron not bound in hemoglobin"
"spherocyte","an abnormal spherical red blood cell"
"fovea","area consisting of a small depression in the retina containing cones and where vision is most acute"
"parafovea","area of the retina immediately surrounding the fovea"
"macula","a yellowish central area of the retina that is rich in cones and that mediates clear detailed vision"
"cone","visual receptor cell sensitive to color"
"gamete","a mature sexual reproductive cell having a single set of unpaired chromosomes"
"anisogamete","either of a pair of unlike gametes especially those unlike in size"
"isogamete","either of a pair of conjugating gametes of the same size and structure"
"sperm","the male reproductive cell; the male gamete; ""a sperm is mostly a nucleus surrounded by little other cellular material"""
"spermatozoon","the male reproductive cell; the male gamete; ""a sperm is mostly a nucleus surrounded by little other cellular material"""
"spermatozoan","the male reproductive cell; the male gamete; ""a sperm is mostly a nucleus surrounded by little other cellular material"""
"acrosome","a process at the anterior end of a sperm cell that produces enzymes to facilitate penetration of the egg"
"ovum","the female reproductive cell; the female gamete"
"ootid","mature ovum after penetration by sperm but before the formation of a zygote"
"ovule","a small or immature ovum"
"gametocyte","an immature animal or plant cell that develops into a gamete by meiosis"
"oocyte","a female gametocyte that develops into an ovum after two meiotic divisions"
"spermatocele","a swelling on the epididymis or the testis; usually contains spermatozoa"
"spermatocyte","a male gametocyte that develops into four spermatids"
"spermatid","an immature gamete produced by a spermatocyte; develops into a spermatozoon"
"myofibril","one of many contractile filaments that make up a striated muscle fiber"
"myofibrilla","one of many contractile filaments that make up a striated muscle fiber"
"sarcostyle","one of many contractile filaments that make up a striated muscle fiber"
"sarcomere","one of the segments into which a myofibril is divided"
"musculature","the muscular system of an organism"
"center","a cluster of nerve cells governing a specific bodily process; ""in most people the speech center is in the left hemisphere"""
"centre","a cluster of nerve cells governing a specific bodily process; ""in most people the speech center is in the left hemisphere"""
"neurolemma","thin membranous sheath around a nerve fiber"
"neurilemma","thin membranous sheath around a nerve fiber"
"effector","a nerve fiber that terminates on a muscle or gland and stimulates contraction or secretion"
"neuron","a cell that is specialized to conduct nerve impulses"
"endplate","the flattened end of a motor neuron that transmits neural impulses to a muscle"
"osmoreceptor","sensory end organ that responds to changes in osmotic pressure"
"motoneuron","a neuron conducting impulses outwards from the brain or spinal cord"
"neuroglia","sustentacular tissue that surrounds and supports neurons in the central nervous system; glial and neural cells together compose the tissue of the central nervous system"
"glia","sustentacular tissue that surrounds and supports neurons in the central nervous system; glial and neural cells together compose the tissue of the central nervous system"
"neurogliacyte","a cell of the neuroglia"
"astroglia","tissue consisting of large stellate neuroglial cells"
"macroglia","tissue consisting of large stellate neuroglial cells"
"astrocyte","comparatively large neuroglial cell"
"microglia","neuroglial tissue of mesodermal origin that can become phagocytic"
"microgliacyte","a cell of the microglia that may become phagocytic and collect waste products of nerve tissue"
"oligodendria","tissue consisting of glial cells with sheet-like processes that form the myelin sheath of nerve fibers"
"axon","long nerve fiber that conducts away from the cell body of the neuron"
"axone","long nerve fiber that conducts away from the cell body of the neuron"
"proprioceptor","special nerve endings in the muscles and tendons and other organs that respond to stimuli regarding the position and movement of the body"
"dendrite","short fiber that conducts toward the cell body of the neuron"
"hybridoma","a hybrid cell resulting from the fusion of a lymphocyte and a tumor cell; used to culture a specific monoclonal antibody"
"process","a natural prolongation or projection from a part of an organism either animal or plant; ""a bony process"""
"outgrowth","a natural prolongation or projection from a part of an organism either animal or plant; ""a bony process"""
"appendage","a natural prolongation or projection from a part of an organism either animal or plant; ""a bony process"""
"caruncle","an outgrowth on a plant or animal such as a fowl''s wattle or a protuberance near the hilum of certain seeds"
"caruncula","an outgrowth on a plant or animal such as a fowl''s wattle or a protuberance near the hilum of certain seeds"
"wattle","a fleshy wrinkled and often brightly colored fold of skin hanging from the neck or throat of certain birds (chickens and turkeys) or lizards"
"lappet","a fleshy wrinkled and often brightly colored fold of skin hanging from the neck or throat of certain birds (chickens and turkeys) or lizards"
"comb","a fleshy and deeply serrated outgrowth atop the heads of certain birds especially domestic fowl"
"condyle","a round bump on a bone where it forms a joint with another bone"
"epicondyle","a projection on a bone above a condyle serving for the attachment of muscles and ligaments"
"fimbria","thin projections forming a fringe (especially around the ovarian end of the Fallopian tube)"
"apophysis","(anatomy) a natural outgrowth or projection on an organ or part such as the process of a vertebra"
"spicule","small pointed structure serving as a skeletal element in various marine and freshwater invertebrates e.g. sponges and corals"
"spiculum","small pointed structure serving as a skeletal element in various marine and freshwater invertebrates e.g. sponges and corals"
"osteophyte","small abnormal bony outgrowth"
"papilla","a small projection of tissue at the base of a hair or tooth or feather"
"papilla","a small nipple-shaped protuberance concerned with taste, touch, or smell; ""the papillae of the tongue"""
"synapse","the junction between two neurons (axon-to-dendrite) or between a neuron and a muscle; ""nerve impulses cross a synapse through the action of neurotransmitters"""
"nerve","any bundle of nerve fibers running to various organs and tissues of the body"
"nervus","any bundle of nerve fibers running to various organs and tissues of the body"
"lemniscus","a bundle of sensory nerve fibers going to the thalamus"
"fillet","a bundle of sensory nerve fibers going to the thalamus"
"fascicle","a bundle of fibers (especially nerve fibers)"
"fasciculus","a bundle of fibers (especially nerve fibers)"
"tract","a bundle of mylenated nerve fibers following a path through the brain"
"pathway","a bundle of mylenated nerve fibers following a path through the brain"
"depressor","any nerve whose activity tends to reduce the activity or tone of the body part it serves"
"peduncle","a bundle of myelinated neurons joining different parts of the brain"
"hemisphere","either half of the cerebrum"
"oculomotor","supplies extrinsic muscles of the eye"
"trochlear","either of the two cranial nerves on either side that control the superior oblique muscles of the eyes"
"trochlearis","either of the two cranial nerves on either side that control the superior oblique muscles of the eyes"
"trigeminal","the main sensory nerve of the face and motor nerve for the muscles of mastication"
"trigeminus","the main sensory nerve of the face and motor nerve for the muscles of mastication"
"abducent","a small motor nerve supplying the lateral rectus muscle of the eye"
"abducens","a small motor nerve supplying the lateral rectus muscle of the eye"
"facial","cranial nerve that supplies facial muscles"
"vagus","a mixed nerve that supplies the pharynx and larynx and lungs and heart and esophagus and stomach and most of the abdominal viscera"
"pneumogastric","a mixed nerve that supplies the pharynx and larynx and lungs and heart and esophagus and stomach and most of the abdominal viscera"
"hypoglossal","supplies intrinsic muscles of the tongue and other tongue muscles"
"brain","that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord"
"encephalon","that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord"
"neencephalon","the part of the brain having the most recent phylogenetic origin; the cerebral cortex and related parts"
"neoencephalon","the part of the brain having the most recent phylogenetic origin; the cerebral cortex and related parts"
"neopallium","the cortical part of the neencephalon"
"neocortex","the cortical part of the neencephalon"
"archipallium","the olfactory cortex of the cerebrum"
"paleocortex","the olfactory cortex of the cerebrum"
"metencephalon","the part of the hindbrain that develops into the pons and the cerebellum"
"leptomeninges","the two innermost layers of the meninges; cerebrospinal fluid circulates between these innermost layers"
"dura","the outermost (and toughest) of the 3 meninges"
"arachnoid","the middle of the 3 meninges"
"pituitary","the master gland of the endocrine system; located at the base of the brain"
"hypophysis","the master gland of the endocrine system; located at the base of the brain"
"epiphysis","a small endocrine gland in the brain; situated beneath the back part of the corpus callosum; secretes melatonin"
"cerebellum","a major division of the vertebrate brain; situated above the medulla oblongata and beneath the cerebrum in humans"
"vermis","the narrow central part of the cerebellum between the two hemispheres"
"pallium","the layer of unmyelinated neurons (the gray matter) forming the cortex of the cerebrum"
"cortex","the layer of unmyelinated neurons (the gray matter) forming the cortex of the cerebrum"
"cortex","the tissue forming the outer layer of an organ or structure in plant or animal"
"medulla","the inner part of an organ or structure in plant or animal"
"cerebrum","anterior portion of the brain consisting of two hemispheres; dominant part of the brain in humans"
"fold","a folded part (as a fold of skin or muscle)"
"plica","a folded part (as a fold of skin or muscle)"
"gyrus","a convex fold or elevation in the surface of the brain"
"convolution","a convex fold or elevation in the surface of the brain"
"precordium","the external surface of the body overlying the heart and stomach"
"lobe","(anatomy) a somewhat rounded subdivision of a bodily organ or part; ""ear lobe"""
"lobule","a small lobe or subdivision of a lobe"
"medulla","lower or hindmost part of the brain; continuous with spinal cord; (`bulb'' is an old term for medulla oblongata); ""the medulla oblongata is the most vital part of the brain because it contains centers controlling breathing and heart functioning"""
"bulb","lower or hindmost part of the brain; continuous with spinal cord; (`bulb'' is an old term for medulla oblongata); ""the medulla oblongata is the most vital part of the brain because it contains centers controlling breathing and heart functioning"""
"amygdala","an almond-shaped neural structure in the anterior part of the temporal lobe of the cerebrum; intimately connected with the hypothalamus and the hippocampus and the cingulate gyrus; as part of the limbic system it plays an important role in motivation and"
"forebrain","the anterior portion of the brain; the part of the brain that develops from the anterior part of the neural tube"
"hippocampus","a complex neural structure (shaped like a sea horse) consisting of gray matter and located on the floor of each lateral ventricle; intimately involved in motivation and emotion as part of the limbic system; has a central role in the formation of memories"
"telencephalon","the anterior division of the forebrain; the cerebrum and related parts of the hypothalamus"
"diencephalon","the posterior division of the forebrain; connects the cerebral hemispheres with the mesencephalon"
"interbrain","the posterior division of the forebrain; connects the cerebral hemispheres with the mesencephalon"
"betweenbrain","the posterior division of the forebrain; connects the cerebral hemispheres with the mesencephalon"
"caudate","a tail-shaped basal ganglion located in a lateral ventricle of the brain"
"claustrum","a layer of gray matter in the brain adjacent to the lenticular nucleus"
"pallidum","the inner pale yellow part of the lenticular nucleus"
"paleostriatum","the inner pale yellow part of the lenticular nucleus"
"putamen","the outer reddish part of the lenticular nucleus"
"subthalamus","the ventral part of the thalamus"
"thalamus","large egg-shaped structures of gray matter that form the dorsal subdivision of the diencephalon"
"hypothalamus","a basal part of the diencephalon governing autonomic nervous system"
"striatum","a striped mass of white and grey matter located in front of the thalamus in each cerebral hemisphere; consists of the caudate nucleus and the lenticular nucleus"
"midbrain","the middle portion of the brain"
"mesencephalon","the middle portion of the brain"
"hindbrain","the posterior portion of the brain including cerebellum and brainstem"
"pons","a band of nerve fibers linking the medulla oblongata and the cerebellum with the midbrain"
"brainstem","the part of the brain continuous with the spinal cord and comprising the medulla oblongata and pons and midbrain and parts of the hypothalamus"
"reticulum","any fine network (especially one in the body composed of cells or blood vessels)"
"nucleus","any histologically identifiable mass of neural cell bodies in the brain or spinal cord"
"ventricle","one of four connected cavities in the brain; is continuous with the central canal of the spinal cord and contains cerebrospinal fluid"
"radiation","a radial arrangement of nerve fibers connecting different parts of the brain"
"tract","a system of body parts that together serve some particular purpose"
"bladder","a distensible membranous sac (usually containing liquid or gas)"
"vesica","a distensible membranous sac (usually containing liquid or gas)"
"introitus","entrance or opening to a hollow organ or tube (especially the vaginal opening); ""the introitus of the vagina"""
"ureter","either of a pair of thick-walled tubes that carry urine from the kidney to the urinary bladder"
"urethra","duct through which urine is discharged in most mammals and which serves as the male genital duct"
"genitalia","external sex organ"
"genitals","external sex organ"
"privates","external sex organ"
"crotch","external sex organ"
"pudendum","human external genital organs collectively especially of a female"
"fanny","external female sex organs; ""in England `fanny'' is vulgar slang for female genitals"""
"ovary","(vertebrates) one of usually two organs that produce ova and secrete estrogen and progesterone"
"ovotestis","hermaphroditic gonad that contains both testicular and ovarian tissue"
"acinus","one of the small sacs or saclike dilations in a compound gland"
"bursa","a small fluid-filled sac located between movable parts of the body especially at joints"
"cisterna","a sac or cavity containing fluid especially lymph or cerebrospinal fluid"
"cistern","a sac or cavity containing fluid especially lymph or cerebrospinal fluid"
"pouch","(anatomy) saclike structure in any of various animals (as a marsupial or gopher or pelican)"
