"venial","warranting only temporal punishment; ""venial sin"""
"traversable","able to be traveled; ""highway crews soon had the roads travelable"""
"travelable","able to be traveled; ""highway crews soon had the roads travelable"""
"impassable","impossible to pass"
"unpassable","impossible to pass"
"unclimbable","impossible to surmount or climb"
"unnavigable","impossible to sail through"
"untraversable","impossible to traverse"
"passionate","having or expressing strong emotions"
"ablaze","keenly excited (especially sexually) or indicating excitement; ""his face all ablaze with excitement""- Bram Stoker; ""he was aflame with desire"""
"aflame","keenly excited (especially sexually) or indicating excitement; ""his face all ablaze with excitement""- Bram Stoker; ""he was aflame with desire"""
"aroused","keenly excited (especially sexually) or indicating excitement; ""his face all ablaze with excitement""- Bram Stoker; ""he was aflame with desire"""
"ardent","characterized by intense emotion; ""ardent love""; ""an ardent lover""; ""a burning enthusiasm""; ""a fervent desire to change society""; ""a fervent admirer""; ""fiery oratory""; ""an impassioned appeal""; ""a torrid love affair"""
"burning(a)","characterized by intense emotion; ""ardent love""; ""an ardent lover""; ""a burning enthusiasm""; ""a fervent desire to change society""; ""a fervent admirer""; ""fiery oratory""; ""an impassioned appeal""; ""a torrid love affair"""
"fervent","characterized by intense emotion; ""ardent love""; ""an ardent lover""; ""a burning enthusiasm""; ""a fervent desire to change society""; ""a fervent admirer""; ""fiery oratory""; ""an impassioned appeal""; ""a torrid love affair"""
"fervid","characterized by intense emotion; ""ardent love""; ""an ardent lover""; ""a burning enthusiasm""; ""a fervent desire to change society""; ""a fervent admirer""; ""fiery oratory""; ""an impassioned appeal""; ""a torrid love affair"""
"fiery","characterized by intense emotion; ""ardent love""; ""an ardent lover""; ""a burning enthusiasm""; ""a fervent desire to change society""; ""a fervent admirer""; ""fiery oratory""; ""an impassioned appeal""; ""a torrid love affair"""
"impassioned","characterized by intense emotion; ""ardent love""; ""an ardent lover""; ""a burning enthusiasm""; ""a fervent desire to change society""; ""a fervent admirer""; ""fiery oratory""; ""an impassioned appeal""; ""a torrid love affair"""
"perfervid","characterized by intense emotion; ""ardent love""; ""an ardent lover""; ""a burning enthusiasm""; ""a fervent desire to change society""; ""a fervent admirer""; ""fiery oratory""; ""an impassioned appeal""; ""a torrid love affair"""
"torrid","characterized by intense emotion; ""ardent love""; ""an ardent lover""; ""a burning enthusiasm""; ""a fervent desire to change society""; ""a fervent admirer""; ""fiery oratory""; ""an impassioned appeal""; ""a torrid love affair"""
"choleric","easily moved to anger; ""men of the choleric type take to kicking and smashing""- H.G.Wells"
"fanatic","marked by excessive enthusiasm for and intense devotion to a cause or idea; ""rabid isolationist"""
"fanatical","marked by excessive enthusiasm for and intense devotion to a cause or idea; ""rabid isolationist"""
"overzealous","marked by excessive enthusiasm for and intense devotion to a cause or idea; ""rabid isolationist"""
"rabid","marked by excessive enthusiasm for and intense devotion to a cause or idea; ""rabid isolationist"""
"lustful","vigorously passionate"
"lusty","vigorously passionate"
"wild","in a state of extreme emotion; ""wild with anger""; ""wild with grief"""
"passionless","not passionate; ""passionless observation of human nature"""
"platonic","free from physical desire; ""platonic love"""
"unimpassioned","free from emotional appeal; marked by reasonableness; ""answered with an unimpassioned defense""; ""the unimpassioned intellect"""
"past","earlier than the present time; no longer current; ""time past""; ""his youth is past""; ""this past Thursday""; ""the past year"""
"ago","gone by; or in the past; ""two years ago""; ""`agone'' is an archaic word for `ago''"""
"agone","gone by; or in the past; ""two years ago""; ""`agone'' is an archaic word for `ago''"""
"ancient","belonging to times long past especially of the historical period before the fall of the Western Roman Empire; ""ancient history""; ""ancient civilizations such as those of the Etruscans and Sumerians""; ""ancient Greece"""
"bygone","well in the past; former; ""bygone days""; ""dreams of foregone times""; ""sweet memories of gone summers""; ""relics of a departed era"""
"bypast","well in the past; former; ""bygone days""; ""dreams of foregone times""; ""sweet memories of gone summers""; ""relics of a departed era"""
"departed","well in the past; former; ""bygone days""; ""dreams of foregone times""; ""sweet memories of gone summers""; ""relics of a departed era"""
"foregone","well in the past; former; ""bygone days""; ""dreams of foregone times""; ""sweet memories of gone summers""; ""relics of a departed era"""
"gone","well in the past; former; ""bygone days""; ""dreams of foregone times""; ""sweet memories of gone summers""; ""relics of a departed era"""
"chivalric","characteristic of the time of chivalry and knighthood in the Middle Ages; ""chivalric rites""; ""the knightly years"""
"knightly","characteristic of the time of chivalry and knighthood in the Middle Ages; ""chivalric rites""; ""the knightly years"""
"medieval","characteristic of the time of chivalry and knighthood in the Middle Ages; ""chivalric rites""; ""the knightly years"""
"early(a)","of the distant past; ""the early inhabitants of Europe""; ""former generations""; ""in other times"""
"former(a)","of the distant past; ""the early inhabitants of Europe""; ""former generations""; ""in other times"""
"other(a)","of the distant past; ""the early inhabitants of Europe""; ""former generations""; ""in other times"""
"erstwhile(a)","belonging to some prior time; ""erstwhile friend""; ""our former glory""; ""the once capital of the state""; ""her quondam lover"""
"former(a)","belonging to some prior time; ""erstwhile friend""; ""our former glory""; ""the once capital of the state""; ""her quondam lover"""
"once(a)","belonging to some prior time; ""erstwhile friend""; ""our former glory""; ""the once capital of the state""; ""her quondam lover"""
"onetime(a)","belonging to some prior time; ""erstwhile friend""; ""our former glory""; ""the once capital of the state""; ""her quondam lover"""
"quondam(a)","belonging to some prior time; ""erstwhile friend""; ""our former glory""; ""the once capital of the state""; ""her quondam lover"""
"sometime(a)","belonging to some prior time; ""erstwhile friend""; ""our former glory""; ""the once capital of the state""; ""her quondam lover"""
"former(a)","(used especially of persons) of the immediate past; ""the former president""; ""our late President is still very active""; ""the previous occupant of the White House"""
"late(a)","(used especially of persons) of the immediate past; ""the former president""; ""our late President is still very active""; ""the previous occupant of the White House"""
"previous(a)","(used especially of persons) of the immediate past; ""the former president""; ""our late President is still very active""; ""the previous occupant of the White House"""
"historic","belonging to the past; of what is important or famous in the past; ""historic victories""; ""historical (or historic) times""; ""a historical character"""
"historical","belonging to the past; of what is important or famous in the past; ""historic victories""; ""historical (or historic) times""; ""a historical character"""
"last(a)","immediately past; ""last Thursday""; ""the last chapter we read"""
"late(a)","of the immediate past or just previous to the present time; ""a late development""; ""their late quarrel""; ""his recent trip to Africa""; ""in recent months""; ""a recent issue of the journal"""
"recent","of the immediate past or just previous to the present time; ""a late development""; ""their late quarrel""; ""his recent trip to Africa""; ""in recent months""; ""a recent issue of the journal"""
"old","of an earlier time; ""his old classmates"""
"olden","of time long past; ""olden days"""
"other(a)","recently past; ""the other evening"""
"prehistoric","belonging to or existing in times before recorded history; ""prehistoric settlements""; ""prehistoric peoples"""
"prehistorical","belonging to or existing in times before recorded history; ""prehistoric settlements""; ""prehistoric peoples"""
"then(a)","at a specific prior time; ""the then president"""
"ultimo","in or of the month preceding the present one; ""your letter received on the 29th ult"""
"ult","in or of the month preceding the present one; ""your letter received on the 29th ult"""
"present(a)","temporal sense; intermediate between past and future; now existing or happening or in consideration; ""the present leader""; ""articles for present use""; ""the present topic""; ""the present system""; ""present observations"""
"existing","presently existing; ""the existing system"""
"immediate","of the present time and place; ""the immediate revisions"""
"instant","in or of the present month; ""your letter of the 10th inst"""
"inst","in or of the present month; ""your letter of the 10th inst"""
"future","yet to be or coming; ""some future historian will evaluate him"""
"approaching","of the relatively near future; ""the approaching election""; ""this coming Thursday""; ""the forthcoming holidays""; ""the upcoming spring fashions"""
"coming(a)","of the relatively near future; ""the approaching election""; ""this coming Thursday""; ""the forthcoming holidays""; ""the upcoming spring fashions"""
"forthcoming","of the relatively near future; ""the approaching election""; ""this coming Thursday""; ""the forthcoming holidays""; ""the upcoming spring fashions"""
"upcoming","of the relatively near future; ""the approaching election""; ""this coming Thursday""; ""the forthcoming holidays""; ""the upcoming spring fashions"""
"coming(a)","yet to come; ""coming generations""; ""a future-day Gibbon of Macaulay"""
"early","expected in the near future; ""look for an early end to the negotiations"""
"emerging","coming to maturity; ""the rising generation"""
"rising","coming to maturity; ""the rising generation"""
"proximo","in or of the next month after the present; ""scheduled for the 6th prox"""
"prox","in or of the next month after the present; ""scheduled for the 6th prox"""
"born","brought into existence; ""he was a child born of adultery"""
"hatched","produced from an egg"
"dropped","(used of a mammal) born"
"whelped","(used of a canine) born"
"foaled","(used of a horse or related animal) born"
"calved","(used of cattle especially domestic cattle) born"
"unborn","not yet brought into existence; ""unborn generations"""
"unhatched","not yet hatched"
"parented","having a parent or parents or cared for by parent surrogates"
"fostered","provided with parental care and nurture especially by a surrogate or surrogates"
"unparented","having no parent or parents or not cared for by parent surrogates"
"parentless","having no parent or parents or not cared for by parent surrogates"
"orphan","deprived of parents by death or desertion"
"orphaned","deprived of parents by death or desertion"
"fatherless","having no living father"
"motherless","having no living or known mother"
"paternal","characteristic of a father"
"fatherly","like or befitting a father or fatherhood; kind and protective"
"fatherlike","like or befitting a father or fatherhood; kind and protective"
"paternalistic","benevolent but sometimes intrusive"
"maternal","characteristic of a mother; ""warm maternal affection for her guest""- Dorothy Sayers"
"maternalistic","showing maternal instincts"
"motherlike","suggestive of or acting like a mother"
"motherly","befitting a mother; warm and nurturing"
"wifely","of or befitting or characteristic of a wife"
"wifelike","of or befitting or characteristic of a wife"
"uxorial","of or befitting or characteristic of a wife"
"husbandly","of or befitting or characteristic of a husband"
"patient","enduring trying circumstances with even temper or characterized by such endurance; ""a patient smile""; ""was patient with the children""; ""an exact and patient scientist""; ""please be patient"""
"diligent","quietly and steadily persevering especially in detail or exactness; ""a diligent (or patient) worker""; ""with persevering (or patient) industry she revived the failing business"""
"persevering","quietly and steadily persevering especially in detail or exactness; ""a diligent (or patient) worker""; ""with persevering (or patient) industry she revived the failing business"""
"enduring","patiently enduring continual wrongs or trouble; ""an enduring disposition""; ""a long-suffering and uncomplaining wife"""
"forbearing","showing patient and unruffled self-control and restraint under adversity; slow to retaliate or express resentment; ""seemly and forbearing...yet strong enough to resist aggression""; ""was longanimous in the face of suffering"""
"longanimous","showing patient and unruffled self-control and restraint under adversity; slow to retaliate or express resentment; ""seemly and forbearing...yet strong enough to resist aggression""; ""was longanimous in the face of suffering"""
"tolerant","showing the capacity for endurance; ""injustice can make us tolerant and forgiving""; ""a man patient of distractions"""
"unhurried","capable of accepting delay with equanimity; ""was unhurried with the small children"""
"impatient","restless or short of temper under delay or opposition; ""impatient with the slower students""; ""impatient of criticism"""
"restive","impatient especially under restriction or delay; ""the government has done nothing to ease restrictions and manufacturers are growing restive"""
"short","unwilling to endure; ""she was short with the slower students"""
"unforbearing","unwilling to endure; ""she was short with the slower students"""
"patriarchal","characteristic of a patriarchy"
"patriarchic","(of societies) being ruled by or having descent traced through the male line"
"patricentric","centered upon the father"
"matriarchal","characteristic of a matriarchy"
"matriarchic","of societies or families; being female dominated or having descent traced through the female line"
"matricentric","centered upon the mother"
"patronized","having patronage or clients; ""street full of flourishing well-patronized shops"""
"patronised","having patronage or clients; ""street full of flourishing well-patronized shops"""
"unpatronized","having little patronage or few clients; ""a restaurant unpatronized by the elite"""
"unpatronised","having little patronage or few clients; ""a restaurant unpatronized by the elite"""
"patronless","having little patronage or few clients; ""a restaurant unpatronized by the elite"""
"briefless","of lawyers or barristers; lacking clients"
"packaged","enclosed in a package or protective covering; ""packaged cereals"""
"prepackaged","prepared and wraped beforehand and ready for sale; ""prepackaged foods"""
"prepacked","prepared and wraped beforehand and ready for sale; ""prepackaged foods"""
"unpackaged","not packaged or put into packets; ""unpackaged nuts"""
"loose","not carefully arranged in a package; ""a box of loose nails"""
"paved","covered with a firm surface"
"sealed","having been paved"
"unpaved","not having a hard surface"
"patriotic","inspired by love for your country"
"loyal","inspired by love for your country"
"chauvinistic","fanatically patriotic"
"jingoistic","fanatically patriotic"
"nationalistic","fanatically patriotic"
"unpatriotic","showing lack of love for your country"
"disloyal","showing lack of love for your country"
"peaceful","not disturbed by strife or turmoil or war; ""a peaceful nation""; ""peaceful times""; ""a far from peaceful Christmas""; ""peaceful sleep"""
"calm","characterized by absence of emotional agitation; ""calm acceptance of the inevitable""; ""remained serene in the midst of turbulence""; ""a serene expression on her face""; ""she became more tranquil""; ""tranquil life in the country"""
"serene","characterized by absence of emotional agitation; ""calm acceptance of the inevitable""; ""remained serene in the midst of turbulence""; ""a serene expression on her face""; ""she became more tranquil""; ""tranquil life in the country"""
"tranquil","characterized by absence of emotional agitation; ""calm acceptance of the inevitable""; ""remained serene in the midst of turbulence""; ""a serene expression on her face""; ""she became more tranquil""; ""tranquil life in the country"""
"halcyon","idyllically calm and peaceful; suggesting happy tranquillity; ""a halcyon atmosphere"""
"irenic","conducive to peace; ""irenic without being namby-pamby""; ""an irenic attitude toward former antagonists"""
"pacific","promoting peace; ""the result of this pacific policy was that no troops were called up"""
"pacific","disposed to peace or of a peaceful nature; ""the pacific temper seeks to settle disputes on grounds of justice rather than by force""; ""a quiet and peaceable person""; ""in a peaceable and orderly manner"""
"peaceable","disposed to peace or of a peaceful nature; ""the pacific temper seeks to settle disputes on grounds of justice rather than by force""; ""a quiet and peaceable person""; ""in a peaceable and orderly manner"""
"pacifist(a)","opposed to war"
"pacifistic","opposed to war"
"dovish","opposed to war"
"peaceable","inclined or disposed to peace; ""they met in a peaceable spirit""; ""peace-loving citizens"""
"undisturbed","peaceful without disturbance; ""the undisturbed tenor of their life"""
"unpeaceful","not peaceful; ""unpeaceful times""; ""an unpeaceful marriage"""
"belligerent","engaged in war; ""belligerent (or warring) nations""; ""a fighting war"""
"fighting","engaged in war; ""belligerent (or warring) nations""; ""a fighting war"""
"militant","engaged in war; ""belligerent (or warring) nations""; ""a fighting war"""
"warring","engaged in war; ""belligerent (or warring) nations""; ""a fighting war"""
"stormy","characterized by violent emotions or behavior; ""a stormy argument""; ""a stormy marriage"""
"unpacific","inclined to make war"
"warlike","inclined to make war"
"unpeaceable","not disposed to peace"
"penitent","feeling or expressing remorse for misdeeds"
"repentant","feeling or expressing remorse for misdeeds"
"contrite","feeling or expressing pain or sorrow for sins or offenses"
"remorseful","feeling or expressing pain or sorrow for sins or offenses"
"rueful","feeling or expressing pain or sorrow for sins or offenses"
"ruthful","feeling or expressing pain or sorrow for sins or offenses"
"sorry","feeling or expressing pain or sorrow for sins or offenses"
"penitential","showing or constituting penance; ""penitential tears""; ""wrote a penitential letter apologizing for her hasty words"""
"impenitent","not penitent or remorseful"
"unrepentant","not penitent or remorseful"
"unremorseful","not penitent or remorseful"
"perceptive","having the ability to perceive or understand; keen in discernment; ""a perceptive eye""; ""a perceptive observation"""
"acute","having or demonstrating ability to recognize or draw fine distinctions; ""an acute observer of politics and politicians""; ""incisive comments""; ""icy knifelike reasoning""; ""as sharp and incisive as the stroke of a fang""; ""penetrating insight""; ""frequent pene"
"incisive","having or demonstrating ability to recognize or draw fine distinctions; ""an acute observer of politics and politicians""; ""incisive comments""; ""icy knifelike reasoning""; ""as sharp and incisive as the stroke of a fang""; ""penetrating insight""; ""frequent pene"
"keen","having or demonstrating ability to recognize or draw fine distinctions; ""an acute observer of politics and politicians""; ""incisive comments""; ""icy knifelike reasoning""; ""as sharp and incisive as the stroke of a fang""; ""penetrating insight""; ""frequent pene"
"knifelike","having or demonstrating ability to recognize or draw fine distinctions; ""an acute observer of politics and politicians""; ""incisive comments""; ""icy knifelike reasoning""; ""as sharp and incisive as the stroke of a fang""; ""penetrating insight""; ""frequent pene"
"penetrating","having or demonstrating ability to recognize or draw fine distinctions; ""an acute observer of politics and politicians""; ""incisive comments""; ""icy knifelike reasoning""; ""as sharp and incisive as the stroke of a fang""; ""penetrating insight""; ""frequent pene"
"penetrative","having or demonstrating ability to recognize or draw fine distinctions; ""an acute observer of politics and politicians""; ""incisive comments""; ""icy knifelike reasoning""; ""as sharp and incisive as the stroke of a fang""; ""penetrating insight""; ""frequent pene"
"piercing","having or demonstrating ability to recognize or draw fine distinctions; ""an acute observer of politics and politicians""; ""incisive comments""; ""icy knifelike reasoning""; ""as sharp and incisive as the stroke of a fang""; ""penetrating insight""; ""frequent pene"
"sharp","having or demonstrating ability to recognize or draw fine distinctions; ""an acute observer of politics and politicians""; ""incisive comments""; ""icy knifelike reasoning""; ""as sharp and incisive as the stroke of a fang""; ""penetrating insight""; ""frequent pene"
"apprehensive","quick to understand; ""a kind and apprehensive friend""- Nathaniel Hawthorne"
"discerning","quick to understand; ""a kind and apprehensive friend""- Nathaniel Hawthorne"
"apperceptive","able to relate new percepts to past experience"
"insightful","exhibiting insight or clear and deep perception; ""an insightful parent""; ""the chapter is insightful and suggestive of new perspectives""-R.C.Angell"
"observant","quick to notice; showing quick and keen perception"
"observing","quick to notice; showing quick and keen perception"
"subtle","able to make fine distinctions; ""a subtle mind"""
"understanding","characterized by understanding based on comprehension and discernment and empathy; ""an understanding friend"""
"unperceptive","lacking perception; ""as unperceptive as a boulder"""
"unperceiving","lacking perception; ""as unperceptive as a boulder"""
"blind","unable or unwilling to perceive or understand; ""blind to a lover''s faults""; ""blind to the consequences of their actions"""
"unobservant","not consciously observing; ""looked through him with blank unseeing eyes"""
"unseeing","not consciously observing; ""looked through him with blank unseeing eyes"""
"perceptible","capable of being perceived by the mind or senses; ""a perceptable limp""; ""easily perceptible sounds""; ""perceptible changes in behavior"""
"detectable","capable of being detected; ""after a noticeable pause the lecturer continued"""
"noticeable","capable of being detected; ""after a noticeable pause the lecturer continued"""
"discernible","capable of being perceived clearly; ""an essay with a meaning that was not always discernible"""
"faint","barely perceptible; lacking clarity or brightness or loudness etc; ""a faint outline""; ""the wan sun cast faint shadows""; ""the faint light of a distant candle""; ""faint colors""; ""a faint hissing sound""; ""a faint aroma"""
"palpable","can be felt by palpation; ""a palpable tumor"""
"perceivable","capable of being perceived especially by sight or hearing; ""perceivable through the mist"""
"recognizable","easily perceived; easy to become aware of; ""this situation produces recognizable stress symptoms"""
"sensible","readily perceived by the senses; ""the sensible universe""; ""a sensible odor"""
"imperceptible","impossible or difficult to perceive by the mind or senses; ""an imperceptible drop in temperature""; ""an imperceptible nod""; ""color is unperceivable to the touch"""
"unperceivable","impossible or difficult to perceive by the mind or senses; ""an imperceptible drop in temperature""; ""an imperceptible nod""; ""color is unperceivable to the touch"""
"impalpable","not perceptible to the touch; ""an impalpable pulse"""
"incognizable","incapable of being perceived or known"
"incognoscible","incapable of being perceived or known"
"indiscernible","barely able to be perceived; ""the transition was almost indiscernible""; ""an almost insensible change"""
"insensible","barely able to be perceived; ""the transition was almost indiscernible""; ""an almost insensible change"""
"undetectable","barely able to be perceived; ""the transition was almost indiscernible""; ""an almost insensible change"""
"subliminal","below the threshold of conscious perception"
"unobservable","not accessible to direct observation"
"perfect","being complete of its kind and without defect or blemish; ""a perfect circle""; ""a perfect reproduction""; ""perfect happiness""; ""perfect manners""; ""a perfect specimen""; ""a perfect day"""
"clean","without difficulties or problems; ""a clean test flight"""
"clear","free from flaw or blemish or impurity; ""a clear perfect diamond"""
"cold","marked by errorless familiarity; ""had her lines cold before rehearsals started"""
"complete","perfect and complete in every respect; having all necessary qualities; ""a complete gentleman""; ""consummate happiness""; ""a consummate performance"""
"consummate","perfect and complete in every respect; having all necessary qualities; ""a complete gentleman""; ""consummate happiness""; ""a consummate performance"""
"down","understood perfectly; ""had his algebra problems down"""
"mastered","understood perfectly; ""had his algebra problems down"""
"errorless","free from error; ""an errorless baseball game"""
"faultless","without fault or error; ""faultless logic""; ""speaks impeccable French""; ""timing and technique were immaculate""; ""an immaculate record"""
"immaculate","without fault or error; ""faultless logic""; ""speaks impeccable French""; ""timing and technique were immaculate""; ""an immaculate record"""
"impeccable","without fault or error; ""faultless logic""; ""speaks impeccable French""; ""timing and technique were immaculate""; ""an immaculate record"""
"flawless","without a flaw; ""a flawless gemstone"""
"unflawed","without a flaw; ""a flawless gemstone"""
"ideal","conforming to an ultimate standard of perfection or excellence; embodying an ideal"
"idealized","exalted to an ideal perfection or excellence"
"idealised","exalted to an ideal perfection or excellence"
"idyllic","excellent and delightful in all respects; ""an idyllic spot for a picnic"""
"mint(a)","as if new; ""in mint condition"""
"perfectible","capable of becoming or being made perfect"
"pluperfect","more than perfect; ""he spoke with pluperfect precision"""
"uncorrupted","(of language) not having its purity or excellence debased; ""uncorrupted English""; ""learn to speak pure English undefiled""- Van Wyck Brooks"
"undefiled","(of language) not having its purity or excellence debased; ""uncorrupted English""; ""learn to speak pure English undefiled""- Van Wyck Brooks"
"imperfect","not perfect; defective or inadequate; ""had only an imperfect understanding of his responsibilities""; ""imperfect mortals""; ""drainage here is imperfect"""
"blemished","having a blemish or flaw; ""a flawed diamond"""
"flawed","having a blemish or flaw; ""a flawed diamond"""
"broken","imperfectly spoken or written; ""broken English"""
"corrupt","containing errors or alterations; ""a corrupt text""; ""spoke a corrupted version of the language"""
"corrupted","containing errors or alterations; ""a corrupt text""; ""spoke a corrupted version of the language"""
"defective","having a defect; ""I returned the appliance because it was defective"""
"faulty","having a defect; ""I returned the appliance because it was defective"""
"perishable","liable to perish; subject to destruction or death or decay; ""this minute and perishable planet""; ""perishable foods such as butter and fruit"""
"biodegradable","capable of being decomposed by e.g. bacteria; ""a biodegradable detergent"""
"decayable","liable to decay or spoil or become putrid"
"putrescible","liable to decay or spoil or become putrid"
"putrefiable","liable to decay or spoil or become putrid"
"spoilable","liable to decay or spoil or become putrid"
"imperishable","not perishable"
"durable","very long lasting; ""less durable rocks were gradually worn away to form valleys""; ""the perdurable granite of the ancient Appalachian spine of the continent"""
"perdurable","very long lasting; ""less durable rocks were gradually worn away to form valleys""; ""the perdurable granite of the ancient Appalachian spine of the continent"""
"undestroyable","very long lasting; ""less durable rocks were gradually worn away to form valleys""; ""the perdurable granite of the ancient Appalachian spine of the continent"""
"imputrescible","not subject to decay"
"permanent","continuing or enduring without marked change in status or condition or place; ""permanent secretary to the president""; ""permanent address""; ""literature of permanent value"""
"lasting","continuing or enduring without marked change in status or condition or place; ""permanent secretary to the president""; ""permanent address""; ""literature of permanent value"""
"abiding","unceasing; ""an abiding belief""; ""imperishable truths"""
"enduring","unceasing; ""an abiding belief""; ""imperishable truths"""
"imperishable","unceasing; ""an abiding belief""; ""imperishable truths"""
"ageless","continuing forever or indefinitely; ""the ageless themes of love and revenge""; ""eternal truths""; ""life everlasting""; ""hell''s perpetual fires""; ""the unending bliss of heaven"""
"eternal","continuing forever or indefinitely; ""the ageless themes of love and revenge""; ""eternal truths""; ""life everlasting""; ""hell''s perpetual fires""; ""the unending bliss of heaven"""
"everlasting","continuing forever or indefinitely; ""the ageless themes of love and revenge""; ""eternal truths""; ""life everlasting""; ""hell''s perpetual fires""; ""the unending bliss of heaven"""
"perpetual","continuing forever or indefinitely; ""the ageless themes of love and revenge""; ""eternal truths""; ""life everlasting""; ""hell''s perpetual fires""; ""the unending bliss of heaven"""
"unending","continuing forever or indefinitely; ""the ageless themes of love and revenge""; ""eternal truths""; ""life everlasting""; ""hell''s perpetual fires""; ""the unending bliss of heaven"""
"unceasing","continuing forever or indefinitely; ""the ageless themes of love and revenge""; ""eternal truths""; ""life everlasting""; ""hell''s perpetual fires""; ""the unending bliss of heaven"""
"indissoluble","used of decisions and contracts"
"standing(a)","not created for a particular occasion; ""a standing committee"""
"impermanent","not permanent; not lasting; ""politics is an impermanent factor of life""- James Thurber; ""impermanent palm cottages""; ""a temperary arrangement""; ""temporary housing"""
"temporary","not permanent; not lasting; ""politics is an impermanent factor of life""- James Thurber; ""impermanent palm cottages""; ""a temperary arrangement""; ""temporary housing"""
"acting(a)","serving temporarily especially as a substitute; ""the acting president"""
"ephemeral","enduring a very short time; ""the ephemeral joys of childhood""; ""a passing fancy""; ""youth''s transient beauty""; ""love is transitory but at is eternal""; ""fugacious blossoms"""
"passing","enduring a very short time; ""the ephemeral joys of childhood""; ""a passing fancy""; ""youth''s transient beauty""; ""love is transitory but at is eternal""; ""fugacious blossoms"""
"transient","enduring a very short time; ""the ephemeral joys of childhood""; ""a passing fancy""; ""youth''s transient beauty""; ""love is transitory but at is eternal""; ""fugacious blossoms"""
"transitory","enduring a very short time; ""the ephemeral joys of childhood""; ""a passing fancy""; ""youth''s transient beauty""; ""love is transitory but at is eternal""; ""fugacious blossoms"""
"fugacious","enduring a very short time; ""the ephemeral joys of childhood""; ""a passing fancy""; ""youth''s transient beauty""; ""love is transitory but at is eternal""; ""fugacious blossoms"""
"episodic","limited in duration to a single episode; ""an account concerned primarily with episodic events such as the succession of rulers"""
"evanescent","tending to vanish like vapor; ""evanescent beauty"""
"improvised","done or made using whatever is available; ""crossed the river on improvised bridges""; ""the survivors used jury-rigged fishing gear""; ""the rock served as a makeshift hammer"""
"makeshift","done or made using whatever is available; ""crossed the river on improvised bridges""; ""the survivors used jury-rigged fishing gear""; ""the rock served as a makeshift hammer"""
"interim","serving during an intermediate interval of time; ""an interim agreement"""
"temporal","not eternal; ""temporal matters of but fleeting moment""- F.D.Roosevelt"
"terminable","possible to terminate or terminating after a designated time; ""terminable employees""; ""a terminable annuity"""
"visiting","staying temporarily; ""a visiting foreigner""; ""guest conductor"""
"guest(a)","staying temporarily; ""a visiting foreigner""; ""guest conductor"""
"working(a)","adopted as a temporary basis for further work; ""a working draft""; ""a working hypothesis"""
"persistent","retained; not shed; ""persistent leaves remain attached past maturity""; ""the persistent gills of fishes"""
"lasting","retained; not shed; ""persistent leaves remain attached past maturity""; ""the persistent gills of fishes"""
"caducous","shed at an early stage of development; ""most amphibians have caducous gills""; ""the caducous calyx of a poppy"""
"shed","shed at an early stage of development; ""most amphibians have caducous gills""; ""the caducous calyx of a poppy"""
"deciduous","(of teeth, antlers, etc.) being shed at the end of a period of growth; ""deciduous teeth"""
"reversible","capable of reversing or being reversed; ""reversible hypertension"""
