"Atsugewi","a member of the North American Indian people of the Pit river valley in northern California"
"Biloxi","a member of the Siouan people of southeastern Mississippi"
"Blackfoot","a member of a warlike group of Algonquians living in the northwestern plains"
"Caddo","a group of Plains Indians formerly living in what is now North and South Dakota and Nebraska and Kansas and Arkansas and Louisiana and Oklahoma and Texas"
"Cakchiquel","a member of the Mayan people living in south central Guatemala"
"Catawba","a member of the Siouan people formerly living in the Carolinas"
"Cayuga","a member of an Iroquoian people formerly living around Cayuga Lake in New York state"
"Cherokee","a member of an Iroquoian people formerly living in the Appalachian Mountains but now chiefly in Oklahoma"
"Cheyenne","a member of a North American Indian people living on the western plains (now living in Oklahoma and Montana)"
"Chickasaw","a member of the Muskhogean people formerly living in northern Mississippi"
"Chimakum","a member of the Salishan people living in northwestern Washington"
"Chimariko","a member of an extinct North American Indian people formerly living in California"
"Chinook","a member of an important North American Indian people who controlled the mouth of the Columbia river; they were organized into settlements rather than tribes"
"Chipewyan","a member of the Athapaskan people living in western Canada between Great Slave Lake and Hudson Bay"
"Choctaw","a member of the Muskhogean people formerly living in Alabama"
"Cochimi","a member of a North American Indian people living in central Baja California"
"Cocopa","a member of a North American Indian people living around the mouth of the Colorado river"
"Cocopah","a member of a North American Indian people living around the mouth of the Colorado river"
"Comanche","a member of the Shoshonean people who formerly lived between Wyoming and the Mexican border but are now chiefly in Oklahoma"
"Conoy","a member of an Algonquian people formerly living in Maryland between Chesapeake Bay and the Potomac river; allies of the Nanticoke people"
"Costanoan","a member of a North American Indian people living in coastal California between Monterey and San Francisco Bay"
"Cree","a member of an Algonquian people living in central Canada"
"Creek","any member of the Creek Confederacy (especially the Muskogee) formerly living in Georgia and Alabama but now chiefly in Oklahoma"
"Crow","a member of the Siouan people formerly living in eastern Montana"
"Dakota","a member of the Siouan people of the northern Mississippi valley; commonly called the Sioux"
"Delaware","a member of an Algonquian people formerly living in New Jersey and New York and parts of Delaware and Pennsylvania"
"Dhegiha","any member of a Siouan people speaking one of the Dhegiha languages"
"Diegueno","a member of a North American Indian people of southern California"
"Erie","a member of an Iroquoian people formerly living on the south shore of Lake Erie in northern Ohio and northwest Pennsylvania and western New York"
"Esselen","a member of a North American Indian people living on the California coast near Monterey"
"Essene","a member of an ascetic Jewish sect around the time of Jesus"
"Eyeish","a member of the Caddo people of northeastern Texas"
"Fox","a member of an Algonquian people formerly living west of Lake Michigan along the Fox River"
"Haida","a member of a seafaring group of North American Indians who lived on the Pacific coast of British Columbia and southwestern Alaska"
"Halchidhoma","a member of a North American Indian people of the Colorado river valley near the mouth of the Gila river; allied to the Maricopa"
"Havasupai","a member of a North American Indian people of Cataract Canyon in Arizona"
"Hidatsa","a member of the Sioux people formerly inhabiting an area along the Missouri river in western North Dakota"
"Hitchiti","a member of the Muskhogean people formerly living in Georgia; a member of the Creek Confederacy"
"Hopi","a member of the Shoshonean people of northeastern Arizona"
"Hokan","a member of a North American Indian people speaking one of the Hokan language"
"Hoka","a member of a North American Indian people speaking one of the Hokan language"
"Hunkpapa","a member of the Siouan people formerly living in the western Dakotas; the were prominent in resisting the white encroachment into the northern Great Plains"
"Hupa","a member of the Athapaskan people of the Trinity River valley in California"
"Illinois","a member of the Algonquian people formerly of Illinois and regions to the west"
"Iowa","a member of the Siouan people formerly living in Iowa and Minnesota and Missouri"
"Ioway","a member of the Siouan people formerly living in Iowa and Minnesota and Missouri"
"Iroquois","any member of the warlike North American Indian peoples formerly living in New York state; the Iroquois League were allies of the British during the American Revolution"
"Kalapooia","a member of the North American Indian people of Oregon"
"Kalapuya","a member of the North American Indian people of Oregon"
"Calapooya","a member of the North American Indian people of Oregon"
"Calapuya","a member of the North American Indian people of Oregon"
"Kamia","a member of a North American Indian people of southeastern California and northwestern Mexico"
"Kansa","a member of the Siouan people of the Kansas river valley in Kansas"
"Kansas","a member of the Siouan people of the Kansas river valley in Kansas"
"Karok","a member of a North American Indian people of the Klamath river valley in northern California"
"Kekchi","a member of a Mayan people of north central Guatemala"
"Kichai","a member of a Caddo people formerly living in north central Texas"
"Kickapoo","a member of the Algonquian people formerly inhabiting southern Wisconsin and northern Illinois"
"Kiliwa","a member of a North American Indian people living in northern Baja California"
"Kiliwi","a member of a North American Indian people living in northern Baja California"
"Kiowa","a member of a Tanoan people living in the southwestern United States"
"Koasati","a member of the Muskhogean people formerly living in northern Alabama; a member of the Creek Confederacy"
"Kusan","a member of the North American Indian people of Oregon"
"Kwakiutl","a member of the Wakashan people living around Queen Charlotte Sound and on northern Vancouver Island"
"Maidu","a member of a North American Indian people living east of the Sacramento river in California"
"Malecite","a member of the Algonquian people of northeastern Maine and New Brunswick"
"Mam","a member of a Mayan people of southwestern Guatemala"
"Maricopa","a member of a North American Indian people of the Gila river valley in Arizona"
"Massachuset","a member of the Algonquian people who formerly lived around Massachusetts Bay"
"Massachusetts","a member of the Algonquian people who formerly lived around Massachusetts Bay"
"Mattole","a member of the Athapaskan people living in northwestern California"
"Menomini","a member of the extinct Algonquian people formerly living between Lake Michigan and Lake Superior"
"Menominee","a member of the extinct Algonquian people formerly living between Lake Michigan and Lake Superior"
"Missouri","a member of the Siouan people formerly inhabiting the valley of the Missouri river in Missouri"
"Miami","a member of the extinct Algonquian people formerly living in northern Indiana and southern Michigan"
"Micmac","a member of the Algonquian people formerly inhabiting the Maritime Provinces of Canada"
"Miwok","a member of the North American Indian people living in the central Sierra Nevada in California"
"Mohave","a member of the North American Indian people formerly living in the Colorado river valley in Arizona and Nevada and California"
"Mojave","a member of the North American Indian people formerly living in the Colorado river valley in Arizona and Nevada and California"
"Mohawk","a member of the Iroquoian people formerly living along the Mohawk River in New York state"
"Mohican","a member of the Algonquian people formerly living the Hudson valley and eastward to the Housatonic"
"Mahican","a member of the Algonquian people formerly living the Hudson valley and eastward to the Housatonic"
"Muskhogean","a member of any of the peoples formerly living in southeastern United States and speaking Muskhogean languages"
"Muskogean","a member of any of the peoples formerly living in southeastern United States and speaking Muskhogean languages"
"Muskogee","a member of the Muskhogean people formerly living in Georgia and eastern Alabama and constituting the core of the Creek Confederacy"
"Nanticoke","a member of the Algonquian people formerly of Maryland and eastern Delaware"
"Navaho","a member of an Athapaskan people that migrated to Arizona and New Mexico and Utah"
"Navajo","a member of an Athapaskan people that migrated to Arizona and New Mexico and Utah"
"Nootka","a member of the Wakashan people living on Vancouver Island and in the Cape Flattery region of northwestern Washington"
"Ofo","a member of the Siouan people living in the Yazoo river valley in Mississippi"
"Oglala","a member of the Siouan people formerly inhabiting the Black Hills of western South Dakota"
"Ogalala","a member of the Siouan people formerly inhabiting the Black Hills of western South Dakota"
"Ojibwa","a member of an Algonquian people who lived west of Lake Superior"
"Ojibway","a member of an Algonquian people who lived west of Lake Superior"
"Chippewa","a member of an Algonquian people who lived west of Lake Superior"
"Omaha","a member of the Siouan people formerly living in the Missouri river valley in northeastern Nebraska"
"Maha","a member of the Siouan people formerly living in the Missouri river valley in northeastern Nebraska"
"Osage","a member of the Siouan people formerly living in Missouri in the valleys of the Missouri and Osage rivers; oil was found on Osage lands early in the 20th century"
"Oneida","a member of the Iroquoian people formerly living east of Lake Ontario"
"Onondaga","a member of the Iroquoian people formerly living between Lake Champlain and the Saint Lawrence River"
"Oto","a member of the Siouan people inhabiting the valleys of the Platte and Missouri rivers in Nebraska"
"Otoe","a member of the Siouan people inhabiting the valleys of the Platte and Missouri rivers in Nebraska"
"Ottawa","a member of the Algonquian people of southern Ontario"
"Paiute","a member of either of two Shoshonean peoples (northern Paiute and southern Paiute) related to the Aztecs and living in the southwestern United States"
"Piute","a member of either of two Shoshonean peoples (northern Paiute and southern Paiute) related to the Aztecs and living in the southwestern United States"
"Pamlico","a member of the Algonquian people formerly of the Pamlico river valley in North Carolina"
"Passamaquody","a member of the Algonquian people related to the Malecite and living in northeastern Maine and New Brunswick"
"Patwin","a member of the North American Indian people living in the Sacramento valley in California"
"Pawnee","a member of the Pawnee nation formerly living in Nebraska and Kansas but now largely in Oklahoma"
"Penobscot","a member of the Algonquian people belonging to the Abnaki confederacy and living in the Penobscot valley in northern Maine"
"Penutian","a member of a North American Indian people speaking one of the Penutian languages"
"Pima","a member of the North American Indian people living in southern Arizona and northern Mexico"
"Pomo","a member of an Indian people of northern California living along the Russian River valley and adjacent Pacific coast"
"Ponca","a member of the Siouan people of the Missouri river valley in northeastern Nebraska"
"Ponka","a member of the Siouan people of the Missouri river valley in northeastern Nebraska"
"Potawatomi","a member of the Algonquian people originally of Michigan and Wisconsin"
"Powhatan","a member of the Algonquian people who formerly lived in eastern Virginia"
"Pueblo","a member of any of about two dozen Native American peoples called pueblos by the Spanish because they live in villages built of adobe and rock"
"Quapaw","a member of the Siouan people of the Arkansas river valley in Arkansas"
"Quiche","a member of the Mayan people of south central Guatemala"
"Redskin","offensive terms for Native Americans"
"Injun","offensive terms for Native Americans"
"Salish","a member of a group of North American Indians speaking a Salishan language and living on the northwest coast of North America"
"Santee","a member of the eastern branch of the Sioux"
"Sauk","a member of the Algonquian people formerly living in Wisconsin in the Fox River valley and on the shores of Green Bay"
"Sac","a member of the Algonquian people formerly living in Wisconsin in the Fox River valley and on the shores of Green Bay"
"Seminole","a member of the Muskhogean people who moved into Florida in the 18th century"
"Seneca","a member of the Iroquoian people formerly living in New York state south of Lake Ontario"
"Shahaptian","a member of a North American Indian people who lived in Oregon along the Columbia river and its tributaries in Washington and northern Idaho"
"Sahaptin","a member of a North American Indian people who lived in Oregon along the Columbia river and its tributaries in Washington and northern Idaho"
"Sahaptino","a member of a North American Indian people who lived in Oregon along the Columbia river and its tributaries in Washington and northern Idaho"
"Shasta","a member of the Indian people of northern California and southern Oregon"
"Shawnee","a member of the Algonquian people formerly living along the Tennessee river"
"Shoshone","a member of the North American Indian people (related to the Aztecs) of the southwestern United States"
"Shoshoni","a member of the North American Indian people (related to the Aztecs) of the southwestern United States"
"Sioux","a member of a group of North American Indian peoples who spoke a Siouan language and who ranged from Lake Michigan to the Rocky Mountains"
"Siouan","a member of a group of North American Indian peoples who spoke a Siouan language and who ranged from Lake Michigan to the Rocky Mountains"
"Skagit","a member of the Salish people in northwestern Washington"
"Takelma","a member of a North American Indian people of southwestern Oregon"
"Taos","a member of the Pueblo people living in northern New Mexico"
"Taracahitian","a member of a group of peoples of Mexico"
"Cahita","a member of the Taracahitian people of central Mexico"
"Tarahumara","a member of the Taracahitian people of north central Mexico"
"Tlingit","a member of a seafaring group of North American Indians living in southern Alaska"
"Tsimshian","a member of a Penutian people who lived on rivers and a sound in British Columbia"
"Tuscarora","a member of a Iroquois people who formerly lived in North Carolina and then moved to New York state and joined the Iroquois"
"Tutelo","a member of the Siouan people of Virginia and North Carolina"
"Ute","a member of the Shoshonean people of Utah and Colorado and New Mexico"
"Wakashan","a member of one of the peoples in British Columbia and Washington who speak the Wakashan language"
"Wampanoag","a member of the Algonquian people of Rhode Island and Massachusetts who greeted the Pilgrims"
"Walapai","a member of a North American people formerly living in the Colorado river valley in Arizona"
"Hualapai","a member of a North American people formerly living in the Colorado river valley in Arizona"
"Hualpai","a member of a North American people formerly living in the Colorado river valley in Arizona"
"Wichita","a member of the Caddo people formerly living between Kansas and central Texas"
"Winnebago","a member of the Siouan-speaking people formerly living in eastern Wisconsin south of Green Bay; ally of the Menomini and enemy of the Fox and Sauk people"
"Wintun","a member of a North American Indian people living in the Sacramento valley in California"
"Yahi","a member of an extinct North American Indian people who lived in the Pit river valley in northern California"
"Yana","a member of an extinct North American Indian people who lived in the Pit river valley in northern California"
"Yavapai","a member of a North American Indian people of central Arizona"
"Yokuts","a member of the North American Indian people of the San Joaquin Valley"
"Yucatec","a member of the Mayan people of the Yucatan peninsula in Mexico"
"Yucateco","a member of the Mayan people of the Yucatan peninsula in Mexico"
"Yuma","a member of the North American Indian people of Arizona and adjacent Mexico and California"
"Zuni","a member of the Pueblo people living in western New Mexico"
"Indian","a native or inhabitant of India"
"Assamese","native or inhabitant of the state of Assam in northeastern India"
"Dravidian","a member of one of the aboriginal races of India (pushed south by Caucasians and now mixed with them)"
"Badaga","a member of an agricultural people of southern India"
"Gadaba","a member of an agricultural people in southeastern India"
"Gond","a member of a formerly tribal people in south central India"
"Kanarese","a member of a Kannada-speaking group of people living chiefly in Kanara in southern India"
"Canarese","a member of a Kannada-speaking group of people living chiefly in Kanara in southern India"
"Kodagu","a member of an aboriginal people living in the hills in southeastern India"
"Kolam","a member of a formerly tribal people now living in south central India"
"Kota","a member of the Dravidian people living in the Nilgiri hills in southern India"
"Kotar","a member of the Dravidian people living in the Nilgiri hills in southern India"
"Kui","a member of the Dravidian people living in southeastern India"
"Malto","a member of the Dravidian people living in northern Bengal in eastern India"
"Savara","a member of the Dravidian people living in southern India"
"Tamil","a member of the mixed Dravidian and Caucasoid people of southern India and Sri Lanka"
"Telugu","a member of the people in southeastern India (Andhra Pradesh) who speak the Telugu language"
"Toda","a member of a pastoral people living in the Nilgiri hills of southern India"
"Tulu","a member of a Dravidian people living on the southwestern coast of India"
"Gujarati","a member of the people of Gujarat"
"Gujerati","a member of the people of Gujarat"
"Kashmiri","a member of the people of Kashmir"
"Oriya","a member of a people in India living in Orissa and neighboring areas"
"Punjabi","a member of the majority people of Punjab in northwestern India"
"Panjabi","a member of the majority people of Punjab in northwestern India"
"Maratha","a member of a people of India living in Maharashtra"
"Mahratta","a member of a people of India living in Maharashtra"
"Aborigine","a dark-skinned member of a race of people living in Australia when Europeans arrived"
"Abo","a dark-skinned member of a race of people living in Australia when Europeans arrived"
"Aboriginal","a dark-skinned member of a race of people living in Australia when Europeans arrived"
"Slav","any member of the people of eastern Europe or Asian Russia who speak a Slavonic language"
"Acadian","an early French settler in the Maritimes"
"Cajun","a Louisianian descended from Acadian immigrants from Nova Scotia (`Cajun'' comes from `Acadian'')"
"Anabaptist","adherent of Anabaptism"
"Mennonite","a member of an Anabaptist movement in Holland noted for its simplicity of life"
"Amish","an American follower of the Mennonite religion"
"Dunker","an adherent of Baptistic doctrines (who practice baptism by immersion)"
"Dunkard","an adherent of Baptistic doctrines (who practice baptism by immersion)"
"Tunker","an adherent of Baptistic doctrines (who practice baptism by immersion)"
"Christian","a religious person who believes Jesus is the Christ and who is a member of a Christian denomination"
"Adventist","a member of Christian denomination that expects the imminent advent of Christ"
"Gentile","in this sense `Gentile'' denotes a Christian as contrasted with a Jew; `goy'' is a derogatory word for Christians used by Jews"
"goy","in this sense `Gentile'' denotes a Christian as contrasted with a Jew; `goy'' is a derogatory word for Christians used by Jews"
"Gentile","a person who is not a member of one''s own religion; used in this sense by Mormons and Hindus"
"Protestant","an adherent of Protestantism"
"Friend","a member of the Religious Society of Friends founded by George Fox (the Friends have never called themselves Quakers)"
"Quaker","a member of the Religious Society of Friends founded by George Fox (the Friends have never called themselves Quakers)"
"Catholic","a member of a Catholic church"
"papist","a Roman Catholic who is a strong advocate of the papacy"
"Uniat","a member of the Uniat Church"
"Uniate","a member of the Uniat Church"
"Copt","a member of the Coptic Church"
"Jew","a person belonging to the worldwide group claiming descent from Jacob (or converted to it) and connected by cultural or religious ties"
"Hebrew","a person belonging to the worldwide group claiming descent from Jacob (or converted to it) and connected by cultural or religious ties"
"Israelite","a person belonging to the worldwide group claiming descent from Jacob (or converted to it) and connected by cultural or religious ties"
"Jewess","a woman who is a Jew"
"kike","offensive terms for a Jew"
"hymie","offensive terms for a Jew"
"sheeny","offensive terms for a Jew"
"Muslim","a believer or follower of Islam"
"Moslem","a believer or follower of Islam"
"Mohammedan","a believer or follower of Islam"
"Muhammedan","a believer or follower of Islam"
"Muhammadan","a believer or follower of Islam"
"Islamist","a believer or follower of Islam"
"Almoravid","a member of a Muslim dynasty of Berber warriors that flourished from 1049 to 1145 and that established political dominance over northwestern Africa and Spain"
"Jihadist","a Muslim who is involved in a jihad"
"Shiite","a member of the branch of Islam that regards Ali as the legitimate successor to Mohammed and rejects the first three caliphs"
"Shi'ite","a member of the branch of Islam that regards Ali as the legitimate successor to Mohammed and rejects the first three caliphs"
"Sunnite","a member of the branch of Islam that accepts the first four caliphs as rightful successors to Muhammad"
"Sunni","a member of the branch of Islam that accepts the first four caliphs as rightful successors to Muhammad"
"Buddhist","one who follows the teachings of Buddha"
"Mahayanist","an adherent of Mahayana Buddhism"
"Hinayanist","an adherent of Hinayana Buddhism"
"Lamaist","(Buddhism) an adherent of Lamaism"
"Tantrist","an adherent of Tantrism"
"Hindu","a person who adheres to Hinduism"
"Hindoo","a person who adheres to Hinduism"
"swami","a Hindu religious teacher; used as a title of respect"
"chela","a Hindu disciple of a swami"
"Jainist","a believer in Jainism"
"Shaktist","worshipper of Shakti"
"Shivaist","worshipper of Shiva"
"Vaishnava","worshipper of Vishnu"
"Shintoist","a believer in Shintoism"
"Rastafarian","follower of Rastafarianism"
"Rasta","follower of Rastafarianism"
"Mithraist","adherent of Mithraism"
"Zoroastrian","follower of Zoroaster and Zoroastrianism"
"Eurafrican","a person of mixed European and African descent"
"Eurasian","a person of mixed European and Asian descent"
"European","a native or inhabitant of Europe"
"sahib","formerly a term of respect for important white Europeans in colonial India; used after the name"
"memsahib","a woman sahib"
"Celt","a member of a European people who occupied Britain and Spain and Gaul in pre-Roman times"
"Kelt","a member of a European people who occupied Britain and Spain and Gaul in pre-Roman times"
"Gael","a Gaelic-speaking Celt in Ireland or Scotland or the Isle of Man"
"Briton","an inhabitant of southern Britain prior to the Anglo-saxon invasions"
"Gaul","a Celt of ancient Gaul"
"Galatian","a native or inhabitant of Galatia in Asia Minor (especially a member of a people believed to have been Gauls who conquered Galatia in the 3rd century BC)"
"Frank","a member of the ancient Germanic peoples who spread from the Rhine into the Roman Empire in the 4th century"
"Salian","a member of the tribe of Franks who settled in the Netherlands in the 4th century AD"
"Teuton","a member of the ancient Germanic people who migrated from Jutland to southern Gaul and were annihilated by the Romans"
"Afghan","a native or inhabitant of Afghanistan"
"Afghanistani","a native or inhabitant of Afghanistan"
"Kafir","a member of the Kafir people in northeastern Afghanistan"
"Pathan","a member of the mountain people living in the eastern regions of Afghanistan; ""Pathans are the predominant ethnic group in Afghanistan"""
"Pashtun","a member of the mountain people living in the eastern regions of Afghanistan; ""Pathans are the predominant ethnic group in Afghanistan"""
"Pushtun","a member of the mountain people living in the eastern regions of Afghanistan; ""Pathans are the predominant ethnic group in Afghanistan"""
"Pashtoon","a member of the mountain people living in the eastern regions of Afghanistan; ""Pathans are the predominant ethnic group in Afghanistan"""
"Albanian","a native or inhabitant of Albania"
"Algerian","a native or inhabitant of Algeria"
"Altaic","any member of the peoples speaking a language in the Altaic language group"
"Armenian","a native or inhabitant of Armenia"
"Andorran","a native or inhabitant of Andorra"
"Angolan","a native or inhabitant of Angola"
"Angolese","a member of the Bantu tribes resident in Angola"
"Anguillan","a native or inhabitant of the island of Anguilla in the West Indies"
"Antiguan","a native or inhabitant of Antigua"
"Argentinian","a native or inhabitant of Argentina"
"Australian","a native or inhabitant of Australia"
"Aussie","a native or inhabitant of Australia"
"Austronesian","a native or inhabitant of Austronesia"
"Austrian","a native or inhabitant of Austria"
"Bahamian","a native or inhabitant of the Bahamas"
"Bahraini","a native or inhabitant of Bahrain"
"Bahreini","a native or inhabitant of Bahrain"
"Bangladeshi","a native or inhabitant of Bangladesh"
"Basotho","a member of a subgroup of people who inhabit Lesotho"
"Basque","a member of a people of unknown origin living in the western Pyrenees in France and Spain"
"Bengali","(Hinduism) a member of a people living in Bangladesh and West Bengal (mainly Hindus)"
"Bantu","a member of any of a large number of linguistically related peoples of Central and South Africa"
"Hutu","a member of a Bantu people living in Rwanda and Burundi"
"Luba","a member of a Bantu people in southeastern Congo"
"Tswana","a member of a Bantu people living chiefly in Botswana and western South Africa"
"Bechuana","a member of a Bantu people living chiefly in Botswana and western South Africa"
"Batswana","a member of a Bantu people living chiefly in Botswana and western South Africa"
"Tutsi","a member of a Bantu speaking people living in Rwanda and Burundi"
"Watutsi","a member of a Bantu speaking people living in Rwanda and Burundi"
"Watusi","a member of a Bantu speaking people living in Rwanda and Burundi"
"Barbadian","a native or inhabitant of Barbados"
"Belgian","a native or inhabitant of Belgium"
"Beninese","a native or inhabitant of Benin"
"Bermudan","a native or inhabitant of Bermuda"
"Bermudian","a native or inhabitant of Bermuda"
"Bhutanese","a native or inhabitant of Bhutan"
"Bhutani","a native or inhabitant of Bhutan"
"Bolivian","a native or inhabitant of Bolivia"
"Bornean","a native or inhabitant of Borneo"
"Brazilian","a native or inhabitant of Brazil"
"Carioca","a native or inhabitant of Rio de Janeiro"
"Tupi","a member of the South American Indian people living in Brazil and Paraguay"
"Guarani","a member of the South American people living in Paraguay and Bolivia"
"Maraco","a member of the South American people living in Argentina and Bolivia and Paraguay"
"Bruneian","a native or inhabitant of Brunei"
"Bulgarian","a native or inhabitant of Bulgaria"
"Burmese","a native or inhabitant of Myanmar"
"Burundian","a native or inhabitant of Burundi"
"Byelorussian","a native or inhabitant of Byelorussia"
"Belorussian","a native or inhabitant of Byelorussia"
"Byzantine","a native or inhabitant of Byzantium or of the Byzantine Empire"
"Cambodian","a native or inhabitant of Cambodia"
"Kampuchean","a native or inhabitant of Cambodia"
"Cameroonian","a native or inhabitant of Cameroon"
"Canadian","a native or inhabitant of Canada"
"Canuck","US slang for Canadians in general and French Canadians in particular"
"Carthaginian","a native or inhabitant of ancient Carthage"
"Cebuan","inhabitant of the island of Cebu; a member of the Visayan people of the Philippines"
"Chadian","a native or inhabitant of Chad"
"Chewa","a member of a Negro people of Malawi and eastern Zambia and northern Zimbabwe"
"Chilean","a native or inhabitant of Chile"
"Chinese","a native or inhabitant of Communist China or of Nationalist China"
"chink","offensive terms for a person of Chinese descent"
"Chinaman","offensive terms for a person of Chinese descent"
"Colombian","a native or inhabitant of Colombia"
"Congolese","a native or inhabitant of the Republic of the Congo"
"Cuban","a native or inhabitant of Cuba"
"Cypriot","a native or inhabitant of Cyprus"
"Cypriote","a native or inhabitant of Cyprus"
"Cyprian","a native or inhabitant of Cyprus"
"Czechoslovak","a native or inhabitant of the former republic of Czechoslovakia"
"Czech","a native or inhabitant of the former republic of Czechoslovakia"
"Czech","a native of inhabitant of the Czech Republic"
"Slovak","a native or inhabitant of Slovakia"
"Dane","a native or inhabitant of Denmark"
"Dutch","the people of the Netherlands; ""the Dutch are famous for their tulips"""
"Frisian","a native or inhabitant of Friesland or Frisia"
"Zealander","a native or inhabitant of Zealand"
"Djiboutian","a native or inhabitant of Djibouti"
"Ecuadorian","a native or inhabitant of Ecuador"
"Ecuadoran","a native or inhabitant of Ecuador"
"Egyptian","a native or inhabitant of Egypt"
"Copt","an Egyptian descended from the ancient Egyptians"
"Salvadoran","a native or inhabitant of El Salvador"
"Salvadorian","a native or inhabitant of El Salvador"
"Salvadorean","a native or inhabitant of El Salvador"
"Britisher","a native or inhabitant of Great Britain"
"Briton","a native or inhabitant of Great Britain"
"Brit","a native or inhabitant of Great Britain"
"Englishman","a man who is a native or inhabitant of England"
"Englishwoman","a woman who is a native or inhabitant of England"
"Angle","a member of a Germanic people who conquered England and merged with the Saxons and Jutes to become Anglo-Saxons"
"Saxon","a member of a Germanic people who conquered England and merged with the Angles and Jutes to become Anglo-Saxons; dominant in England until the Norman conquest"
"Jute","a member of a Germanic people who conquered England and merged with the Angles and Saxons to become Anglo-Saxons"
"Lombard","a member of a Germanic people who invaded northern Italy in the 6th century"
